pool,rank,seed,n_cells,n_genes,reconstruction_error,normalized_reconstruction_error,converged_or_max_iter,factor_stability,selection_score,n_source_cells_before_pool_sampling,n_source_donors_before_pool_sampling
high_confidence,5,3,2681,2000,1341.5123291015625,0.5411221385002136,316,0.9169343888759613,0.8365174233554473,2681,4
high_confidence,5,4,2681,2000,1341.5123291015625,0.5411221385002136,298,0.9169343888759613,0.8365174233554473,2681,4
high_confidence,6,0,2681,2000,1312.5892333984375,0.5294554829597473,194,0.9999996781349182,0.8961480139484881,2681,4
high_confidence,6,1,2681,2000,1312.5892333984375,0.5294554829597473,162,0.9999996781349182,0.8961480139484881,2681,4
high_confidence,6,2,2681,2000,1312.5892333984375,0.5294554829597473,123,0.9999996781349182,0.8961480139484881,2681,4
high_confidence,6,3,2681,2000,1312.58935546875,0.5294555425643921,204,0.9999996781349182,0.8961480063043652,2681,4
high_confidence,6,4,2681,2000,1312.58935546875,0.5294555425643921,226,0.9999996781349182,0.8961480063043652,2681,4
broad_lam_like,2,0,6000,2000,2343.814453125,0.6542001366615295,26,0.999999874830246,0.8813564443697703,8727,4
broad_lam_like,2,1,6000,2000,2343.814453125,0.6542001366615295,26,0.999999874830246,0.8813564443697703,8727,4
broad_lam_like,2,2,6000,2000,2343.814453125,0.6542001366615295,27,0.999999874830246,0.8813564443697703,8727,4
broad_lam_like,2,3,6000,2000,2343.814453125,0.6542001366615295,25,0.999999874830246,0.8813564443697703,8727,4
broad_lam_like,2,4,6000,2000,2343.814453125,0.6542001366615295,26,0.999999874830246,0.8813564443697703,8727,4
broad_lam_like,3,0,6000,2000,2271.41455078125,0.6339920163154602,71,0.9999990880489349,0.8835987899083774,8727,4
broad_lam_like,3,1,6000,2000,2271.414306640625,0.6339919567108154,50,0.9999990880489349,0.8835987966057045,8727,4
broad_lam_like,3,2,6000,2000,2271.41455078125,0.6339920163154602,89,0.9999990880489349,0.8835987899083774,8727,4
broad_lam_like,3,3,6000,2000,2271.414306640625,0.6339919567108154,237,0.9999990880489349,0.8835987966057045,8727,4
broad_lam_like,3,4,6000,2000,2271.414306640625,0.6339919567108154,56,0.9999990880489349,0.8835987966057045,8727,4
