pool,candidate_program,known_program,evidence_scope,evidence_level,known_type,overlap_n,overlap_genes,jaccard_top_genes,score_correlation
high_confidence,program_4,TGFbeta_fibroblast,microenvironment,supported,gene_set,0,,0.0,-0.22734029660198898
high_confidence,program_5,TGFbeta_fibroblast,microenvironment,supported,gene_set,0,,0.0,-0.07073791156033939
high_confidence,program_6,TGFbeta_fibroblast,microenvironment,supported,gene_set,0,,0.0,0.1900014591757442
high_confidence,program_1,IL6_AT2_repair,microenvironment,supported,gene_set,2,"SFTPA2,SFTPC",0.034482758620689655,0.6126508530472778
high_confidence,program_2,IL6_AT2_repair,microenvironment,supported,gene_set,0,,0.0,-0.42577417491609265
high_confidence,program_3,IL6_AT2_repair,microenvironment,supported,gene_set,0,,0.0,-0.15699230267920872
high_confidence,program_4,IL6_AT2_repair,microenvironment,supported,gene_set,0,,0.0,-0.08658433927774561
high_confidence,program_5,IL6_AT2_repair,microenvironment,supported,gene_set,0,,0.0,-0.1256558503537015
high_confidence,program_6,IL6_AT2_repair,microenvironment,supported,gene_set,0,,0.0,0.4783846160495853
high_confidence,program_1,protease_ECM_niche,microenvironment,supported,gene_set,0,,0.0,-0.3210792501197415
high_confidence,program_2,protease_ECM_niche,microenvironment,supported,gene_set,0,,0.0,0.693743870066181
high_confidence,program_3,protease_ECM_niche,microenvironment,supported,gene_set,0,,0.0,-0.08728570662712684
high_confidence,program_4,protease_ECM_niche,microenvironment,supported,gene_set,0,,0.0,-0.2819097458803087
high_confidence,program_5,protease_ECM_niche,microenvironment,supported,gene_set,0,,0.0,0.2447613326127532
high_confidence,program_6,protease_ECM_niche,microenvironment,supported,gene_set,0,,0.0,-0.29621137304441
high_confidence,program_1,hormone_related,LAM-shared,supported,gene_set,0,,0.0,0.11507849719131959
high_confidence,program_2,hormone_related,LAM-shared,supported,gene_set,0,,0.0,-0.5504313402332183
high_confidence,program_3,hormone_related,LAM-shared,supported,gene_set,0,,0.0,0.39506537433648076
high_confidence,program_4,hormone_related,LAM-shared,supported,gene_set,1,IGF1R,0.017857142857142856,0.3223691707403059
high_confidence,program_5,hormone_related,LAM-shared,supported,gene_set,0,,0.0,-0.21899169226695464
high_confidence,program_6,hormone_related,LAM-shared,supported,gene_set,0,,0.0,0.22039859393314384
high_confidence,program_1,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,-0.1472208775225005
high_confidence,program_2,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,0.2696973665299111
high_confidence,program_3,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,-0.059934511853011525
high_confidence,program_4,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,-0.016040041156121267
high_confidence,program_5,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,-0.13187887098482204
high_confidence,program_6,hypoxia_stress,LAM-shared,supported,gene_set,0,,0.0,0.17334864524023788
high_confidence,program_1,cell_cycle,LAM-shared,contextual,gene_set,0,,0.0,-0.07437359743121794
high_confidence,program_2,cell_cycle,LAM-shared,contextual,gene_set,0,,0.0,0.2644971307175492
high_confidence,program_3,cell_cycle,LAM-shared,contextual,gene_set,0,,0.0,-0.07437173245588247
high_confidence,program_4,cell_cycle,LAM-shared,contextual,gene_set,0,,0.0,-0.015463098970657138
high_confidence,program_5,cell_cycle,LAM-shared,contextual,gene_set,0,,0.0,0.0634310490869747
high_confidence,program_6,cell_cycle,LAM-shared,contextual,gene_set,0,,0.0,-0.14624155176500955
high_confidence,program_1,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,-0.08745456723433997
high_confidence,program_2,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,0.07077401028138716
high_confidence,program_3,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,0.2676460943596353
high_confidence,program_4,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,-0.0813521211930701
high_confidence,program_5,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,-0.08841184562016775
high_confidence,program_6,biomarker_VEGFD_PMEL_CCL14_MMP8,biomarker,biomarker,gene_set,0,,0.0,-0.1531707347621277
high_confidence,program_1,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,0,,0.0,-0.2728583641879336
high_confidence,program_2,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,0,,0.0,0.4542128981420072
high_confidence,program_3,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,1,CALD1,0.017543859649122806,0.36894258084103626
high_confidence,program_4,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,0,,0.0,-0.21202260666751227
