source,pool,program,donor_id,n_cells_scored,candidate_cells_scored,background_cells_scored,candidate_mean,background_mean,candidate_minus_background,direction,qc_view
adata_obs,all_cells,TGFbeta_fibroblast,LAM3,6064,52,6012,1.3251576029891383,-0.007693192836456538,1.3328507958255948,positive,strict_qc
adata_obs,all_cells,TGFbeta_fibroblast,LAM4,898,4,894,0.11977464109659197,-0.03058119204942634,0.1503558331460183,positive,strict_qc
adata_obs,all_cells,normal_lung_interstitial,Donor1,7480,0,7480,,0.0170816305149247,,near_zero_or_unavailable,baseline
adata_obs,all_cells,normal_lung_interstitial,LAM1,7827,31,7796,1.050266470021458,-0.021699073362065925,1.0719655433835238,positive,baseline
adata_obs,all_cells,normal_lung_interstitial,LAM2,7126,4,7122,-0.038697274252772335,-0.02495964504999817,-0.013737629202774163,near_zero_or_unavailable,baseline
adata_obs,all_cells,normal_lung_interstitial,LAM3,7016,84,6932,0.924987352028016,-0.004326874465452499,0.9293142264934685,positive,baseline
adata_obs,all_cells,normal_lung_interstitial,LAM4,1259,21,1238,0.138133310325562,-0.007882150680340294,0.1460154610059023,positive,baseline
adata_obs,all_cells,normal_lung_interstitial,Donor1,6178,0,6178,,0.013745036372723762,,near_zero_or_unavailable,strict_qc
adata_obs,all_cells,normal_lung_interstitial,LAM1,7104,28,7076,1.1002894789228839,-0.022904857127117012,1.123194336050001,positive,strict_qc
adata_obs,all_cells,normal_lung_interstitial,LAM2,4955,1,4954,-0.03983794152736664,-0.02421003608791304,-0.0156279054394536,near_zero_or_unavailable,strict_qc
adata_obs,all_cells,normal_lung_interstitial,LAM3,6064,52,6012,1.3251576029891383,-0.007693192836456538,1.3328507958255948,positive,strict_qc
adata_obs,all_cells,normal_lung_interstitial,LAM4,898,4,894,0.11977464109659197,-0.03058119204942634,0.1503558331460183,positive,strict_qc
adata_obs,all_cells,SLS_stem_like,Donor1,7480,0,7480,,0.01245673857924799,,near_zero_or_unavailable,baseline
adata_obs,all_cells,SLS_stem_like,LAM1,7827,31,7796,0.02497579300115185,0.08842783801939974,-0.06345204501824789,negative,baseline
adata_obs,all_cells,SLS_stem_like,LAM2,7126,4,7122,-0.0439177850385507,0.08656131990388005,-0.13047910494243076,negative,baseline
adata_obs,all_cells,SLS_stem_like,LAM3,7016,84,6932,-0.012961100973780195,0.0424507974631974,-0.055411898436977594,negative,baseline
adata_obs,all_cells,SLS_stem_like,LAM4,1259,21,1238,0.06827261728899818,0.07488847597613008,-0.006615858687131895,near_zero_or_unavailable,baseline
adata_obs,all_cells,SLS_stem_like,Donor1,6178,0,6178,,0.014777671365384737,,near_zero_or_unavailable,strict_qc
adata_obs,all_cells,SLS_stem_like,LAM1,7104,28,7076,0.03672873443968239,0.09487450678551519,-0.058145772345832805,negative,strict_qc
adata_obs,all_cells,SLS_stem_like,LAM2,4955,1,4954,-0.053052531282107046,0.09575865674513008,-0.14881118802723714,negative,strict_qc
adata_obs,all_cells,SLS_stem_like,LAM3,6064,52,6012,-0.00583492846825183,0.045632978614256935,-0.051467907082508764,negative,strict_qc
adata_obs,all_cells,SLS_stem_like,LAM4,898,4,894,0.2667657874524593,0.09176109449072593,0.17500469296173338,positive,strict_qc
adata_obs,all_cells,IS_inflammatory,Donor1,7480,0,7480,,0.704795234873944,,near_zero_or_unavailable,baseline
adata_obs,all_cells,IS_inflammatory,LAM1,7827,31,7796,0.4682306674090764,0.362888505992395,0.10534216141668135,positive,baseline
adata_obs,all_cells,IS_inflammatory,LAM2,7126,4,7122,0.09823579659064607,0.10175752283720213,-0.003521726246556056,near_zero_or_unavailable,baseline
adata_obs,all_cells,IS_inflammatory,LAM3,7016,84,6932,0.27459662079338043,0.28130335546731894,-0.006706734673938508,near_zero_or_unavailable,baseline
adata_obs,all_cells,IS_inflammatory,LAM4,1259,21,1238,0.5053041388874961,0.5428261422570925,-0.037522003369596324,near_zero_or_unavailable,baseline
adata_obs,all_cells,IS_inflammatory,Donor1,6178,0,6178,,0.7329652687319663,,near_zero_or_unavailable,strict_qc
adata_obs,all_cells,IS_inflammatory,LAM1,7104,28,7076,0.5034636892307371,0.3770462046005499,0.12641748463018726,positive,strict_qc
adata_obs,all_cells,IS_inflammatory,LAM2,4955,1,4954,0.06270807822545366,0.12155717227766884,-0.05884909405221518,negative,strict_qc
adata_obs,all_cells,IS_inflammatory,LAM3,6064,52,6012,0.4007510579167268,0.2881703741175785,0.11258068379914832,positive,strict_qc
adata_obs,all_cells,IS_inflammatory,LAM4,898,4,894,0.7030246339241665,0.5721161592361155,0.130908474688051,positive,strict_qc
adata_obs,all_cells,MDK_dormancy_persistence,Donor1,7480,0,7480,,0.036551333192882,,near_zero_or_unavailable,baseline
