marker_pattern,marker_pair,detected_marker_count,cells,marker_combo_candidate_cells,states,datasets,patients,state_counts,dataset_counts,patient_counts
MITF + ACTA2 + ESR1 + CTSK,,4,89,89,12,3,7,"{""1"": 22, ""10"": 1, ""12"": 9, ""15"": 1, ""16"": 15, ""17"": 1, ""18"": 1, ""20"": 17, ""4"": 6, ""5"": 3, ""7"": 3, ""9"": 10}","{""GSE190260"": 10, ""GSE217108"": 7, ""GSE302356"": 72}","{""LAM1158"": 2, ""LAM1164"": 8, ""LAM18"": 1, ""LAM3"": 49, ""LAM32"": 10, ""LAM44"": 1, ""LAM50"": 18}"
MITF + ESR1 + VEGFD,,3,73,73,7,2,4,"{""1"": 19, ""12"": 13, ""16"": 1, ""20"": 12, ""4"": 12, ""7"": 4, ""9"": 12}","{""GSE217108"": 14, ""GSE302356"": 59}","{""LAM3"": 37, ""LAM32"": 9, ""LAM44"": 5, ""LAM50"": 22}"
PMEL + MITF,PMEL + MITF,2,65,65,7,3,8,"{""1"": 5, ""12"": 11, ""16"": 3, ""4"": 7, ""5"": 16, ""7"": 16, ""9"": 7}","{""GSE190260"": 29, ""GSE217108"": 10, ""GSE302356"": 26}","{""LAM1110"": 3, ""LAM1158"": 11, ""LAM1163"": 6, ""LAM1164"": 9, ""LAM3"": 12, ""LAM32"": 12, ""LAM44"": 1, ""LAM50"": 11}"
PMEL + ACTA2 + CTSK,,3,84,61,9,3,9,"{""1"": 3, ""12"": 2, ""15"": 14, ""16"": 55, ""17"": 3, ""20"": 1, ""4"": 2, ""5"": 1, ""7"": 3}","{""GSE135851"": 26, ""GSE190260"": 54, ""GSE302356"": 4}","{""LAM1"": 6, ""LAM1110"": 1, ""LAM1158"": 2, ""LAM1163"": 51, ""LAM18"": 1, ""LAM2"": 1, ""LAM3"": 13, ""LAM32"": 1, ""LAM4"": 8}"
ACTA2 + ESR1 + CTSK,,3,63,60,11,4,11,"{""1"": 4, ""12"": 2, ""15"": 3, ""16"": 4, ""17"": 4, ""18"": 1, ""20"": 34, ""4"": 1, ""5"": 3, ""7"": 3, ""9"": 4}","{""GSE135851"": 10, ""GSE190260"": 36, ""GSE217108"": 3, ""GSE302356"": 14}","{""LAM1"": 3, ""LAM1110"": 5, ""LAM1163"": 6, ""LAM1164"": 25, ""LAM18"": 1, ""LAM2"": 4, ""LAM3"": 9, ""LAM32"": 4, ""LAM4"": 3, ""LAM44"": 1, ""LAM50"": 2}"
MLANA + MITF,MLANA + MITF,2,59,59,7,3,5,"{""1"": 6, ""12"": 12, ""20"": 1, ""4"": 5, ""5"": 3, ""7"": 24, ""9"": 8}","{""GSE190260"": 4, ""GSE217108"": 6, ""GSE302356"": 49}","{""LAM1164"": 4, ""LAM3"": 31, ""LAM32"": 4, ""LAM44"": 2, ""LAM50"": 18}"
PMEL + MITF + ACTA2 + ESR1 + CTSK,,5,58,58,5,2,4,"{""1"": 2, ""12"": 2, ""14"": 1, ""15"": 41, ""16"": 12}","{""GSE190260"": 40, ""GSE302356"": 18}","{""LAM1158"": 1, ""LAM1163"": 39, ""LAM3"": 16, ""LAM32"": 2}"
PMEL + ACTA2,PMEL + ACTA2,2,56,51,8,4,10,"{""1"": 3, ""12"": 5, ""16"": 23, ""18"": 2, ""4"": 3, ""5"": 6, ""7"": 7, ""9"": 7}","{""GSE135851"": 24, ""GSE190260"": 22, ""GSE217108"": 1, ""GSE302356"": 9}","{""LAM1"": 8, ""LAM1110"": 1, ""LAM1163"": 18, ""LAM1164"": 3, ""LAM18"": 2, ""LAM2"": 1, ""LAM3"": 7, ""LAM32"": 4, ""LAM4"": 11, ""LAM44"": 1}"
PMEL + MITF + ACTA2 + CTSK,,4,41,41,6,2,2,"{""1"": 2, ""12"": 1, ""14"": 1, ""15"": 32, ""16"": 3, ""7"": 2}","{""GSE190260"": 39, ""GSE302356"": 2}","{""LAM1163"": 39, ""LAM3"": 2}"
ACTA2 + FIGF,ACTA2 + FIGF,2,40,38,7,2,7,"{""16"": 6, ""18"": 2, ""20"": 15, ""4"": 4, ""5"": 3, ""7"": 2, ""9"": 8}","{""GSE135851"": 23, ""GSE190260"": 17}","{""LAM1110"": 3, ""LAM1158"": 2, ""LAM1163"": 2, ""LAM1164"": 10, ""LAM2"": 1, ""LAM3"": 6, ""LAM4"": 16}"
VEGFD + CTSK,VEGFD + CTSK,2,34,34,6,2,5,"{""1"": 2, ""12"": 7, ""13"": 1, ""20"": 13, ""7"": 8, ""9"": 3}","{""GSE217108"": 8, ""GSE302356"": 26}","{""LAM18"": 4, ""LAM3"": 10, ""LAM32"": 15, ""LAM44"": 2, ""LAM50"": 3}"
MITF + ACTA2 + ESR1 + VEGFD + CTSK,,5,33,33,8,2,3,"{""1"": 7, ""12"": 5, ""13"": 1, ""15"": 1, ""16"": 13, ""20"": 1, ""4"": 1, ""9"": 4}","{""GSE217108"": 1, ""GSE302356"": 32}","{""LAM3"": 24, ""LAM32"": 3, ""LAM50"": 6}"
ESR1 + VEGFD,ESR1 + VEGFD,2,32,32,7,2,4,"{""1"": 9, ""12"": 6, ""20"": 12, ""4"": 1, ""5"": 1, ""7"": 2, ""9"": 1}","{""GSE217108"": 13, ""GSE302356"": 19}","{""LAM3"": 16, ""LAM32"": 5, ""LAM44"": 9, ""LAM50"": 2}"
MITF + ACTA2 + ESR1 + VEGFD,,4,31,31,7,2,4,"{""1"": 8, ""12"": 6, ""13"": 1, ""16"": 8, ""20"": 3, ""4"": 1, ""9"": 4}","{""GSE217108"": 6, ""GSE302356"": 25}","{""LAM3"": 18, ""LAM32"": 3, ""LAM44"": 3, ""LAM50"": 7}"
MLANA + MITF + ESR1,,3,31,31,6,2,3,"{""1"": 15, ""12"": 5, ""20"": 1, ""4"": 3, ""7"": 2, ""9"": 5}","{""GSE217108"": 1, ""GSE302356"": 30}","{""LAM3"": 17, ""LAM32"": 1, ""LAM50"": 13}"
ACTA2 + VEGFD,ACTA2 + VEGFD,2,29,29,8,2,5,"{""1"": 1, ""12"": 8, ""16"": 1, ""18"": 4, ""20"": 11, ""4"": 2, ""7"": 1, ""9"": 1}","{""GSE217108"": 8, ""GSE302356"": 21}","{""LAM18"": 6, ""LAM3"": 5, ""LAM32"": 16, ""LAM44"": 1, ""LAM50"": 1}"
PMEL + CTSK,PMEL + CTSK,2,27,25,8,3,7,"{""1"": 1, ""12"": 2, ""15"": 2, ""16"": 2, ""4"": 3, ""5"": 11, ""6"": 1, ""7"": 5}","{""GSE135851"": 16, ""GSE190260"": 2, ""GSE302356"": 9}","{""LAM1"": 2, ""LAM1163"": 2, ""LAM18"": 2, ""LAM2"": 4, ""LAM3"": 14, ""LAM32"": 2, ""LAM50"": 1}"
PMEL + MITF + ACTA2 + ESR1 + VEGFD + CTSK,,6,25,25,4,2,2,"{""1"": 4, ""12"": 3, ""15"": 1, ""16"": 17}","{""GSE217108"": 1, ""GSE302356"": 24}","{""LAM3"": 24, ""LAM32"": 1}"
PMEL + MITF + ESR1,,3,25,25,8,1,2,"{""1"": 5, ""10"": 1, ""11"": 1, ""12"": 3, ""16"": 4, ""4"": 4, ""7"": 3, ""9"": 4}","{""GSE302356"": 25}","{""LAM3"": 17, ""LAM50"": 8}"
MITF + VEGFD + CTSK,,3,23,23,4,2,4,"{""12"": 6, ""20"": 6, ""4"": 6, ""7"": 5}","{""GSE217108"": 9, ""GSE302356"": 14}","{""LAM3"": 10, ""LAM32"": 9, ""LAM44"": 2, ""LAM50"": 2}"
MITF + ESR1 + VEGFD + CTSK,,4,20,20,5,2,4,"{""1"": 8, ""12"": 3, ""20"": 3, ""4"": 1, ""9"": 5}","{""GSE217108"": 2, ""GSE302356"": 18}","{""LAM18"": 1, ""LAM3"": 11, ""LAM32"": 2, ""LAM50"": 6}"
ACTA2 + FIGF + CTSK,,3,27,19,6,2,7,"{""15"": 1, ""16"": 7, ""20"": 16, ""5"": 1, ""7"": 1, ""9"": 1}","{""GSE135851"": 11, ""GSE190260"": 16}","{""LAM1"": 1, ""LAM1110"": 1, ""LAM1158"": 1, ""LAM1163"": 2, ""LAM1164"": 12, ""LAM3"": 8, ""LAM4"": 2}"
MITF + ACTA2 + VEGFD,,3,19,19,7,2,3,"{""1"": 1, ""12"": 4, ""18"": 1, ""20"": 6, ""4"": 1, ""7"": 3, ""9"": 3}","{""GSE217108"": 4, ""GSE302356"": 15}","{""LAM3"": 5, ""LAM32"": 9, ""LAM50"": 5}"
PMEL + ESR1,PMEL + ESR1,2,19,19,8,4,8,"{""1"": 3, ""12"": 1, ""16"": 1, ""20"": 1, ""4"": 1, ""5"": 4, ""7"": 7, ""9"": 1}","{""GSE135851"": 7, ""GSE190260"": 2, ""GSE217108"": 2, ""GSE302356"": 8}","{""LAM1"": 2, ""LAM1110"": 1, ""LAM1163"": 1, ""LAM2"": 1, ""LAM3"": 8, ""LAM32"": 2, ""LAM4"": 3, ""LAM50"": 1}"
PMEL + MITF + ACTA2 + ESR1 + FIGF + CTSK,,6,16,16,1,1,2,"{""15"": 16}","{""GSE190260"": 16}","{""LAM1158"": 2, ""LAM1163"": 14}"
PMEL + ACTA2 + ESR1 + CTSK,,4,22,15,3,3,4,"{""15"": 20, ""16"": 1, ""5"": 1}","{""GSE135851"": 8, ""GSE190260"": 13, ""GSE302356"": 1}","{""LAM1"": 2, ""LAM1163"": 13, ""LAM3"": 6, ""LAM32"": 1}"
MLANA + ESR1,MLANA + ESR1,2,15,15,5,2,3,"{""1"": 4, ""12"": 3, ""4"": 2, ""7"": 3, ""9"": 3}","{""GSE217108"": 1, ""GSE302356"": 14}","{""LAM3"": 9, ""LAM32"": 1, ""LAM50"": 5}"
FIGF + CTSK,FIGF + CTSK,2,15,14,2,2,5,"{""20"": 14, ""9"": 1}","{""GSE135851"": 2, ""GSE190260"": 13}","{""LAM1110"": 1, ""LAM1158"": 2, ""LAM1164"": 10, ""LAM3"": 1, ""LAM4"": 1}"
PMEL + MITF + ACTA2 + FIGF + CTSK,,5,14,14,3,1,2,"{""14"": 1, ""15"": 12, ""16"": 1}","{""GSE190260"": 14}","{""LAM1158"": 2, ""LAM1163"": 12}"
ACTA2 + VEGFD + CTSK,,3,13,13,4,1,4,"{""12"": 1, ""18"": 1, ""20"": 9, ""9"": 2}","{""GSE302356"": 13}","{""LAM18"": 2, ""LAM3"": 1, ""LAM32"": 8, ""LAM50"": 2}"
MITF + ACTA2 + FIGF + CTSK,,4,12,12,4,1,3,"{""1"": 1, ""15"": 1, ""16"": 1, ""20"": 9}","{""GSE190260"": 12}","{""LAM1158"": 2, ""LAM1163"": 3, ""LAM1164"": 7}"
MITF + FIGF,MITF + FIGF,2,12,12,4,1,4,"{""12"": 1, ""20"": 5, ""5"": 2, ""7"": 4}","{""GSE190260"": 12}","{""LAM1110"": 1, ""LAM1158"": 2, ""LAM1163"": 7, ""LAM1164"": 2}"
PMEL + MITF + ACTA2 + ESR1,,4,12,12,6,3,4,"{""1"": 6, ""12"": 1, ""16"": 2, ""20"": 1, ""7"": 1, ""9"": 1}","{""GSE190260"": 1, ""GSE217108"": 1, ""GSE302356"": 10}","{""LAM1158"": 1, ""LAM3"": 7, ""LAM32"": 1, ""LAM50"": 3}"
MLANA + MITF + ESR1 + CTSK,,4,11,11,4,1,2,"{""1"": 5, ""12"": 3, ""7"": 1, ""9"": 2}","{""GSE302356"": 11}","{""LAM3"": 8, ""LAM50"": 3}"
PMEL + MITF + ESR1 + CTSK,,4,11,11,6,2,3,"{""1"": 4, ""12"": 2, ""16"": 2, ""20"": 1, ""4"": 1, ""7"": 1}","{""GSE217108"": 2, ""GSE302356"": 9}","{""LAM3"": 8, ""LAM44"": 2, ""LAM50"": 1}"
PMEL + MITF + ACTA2,,3,10,10,6,2,6,"{""1"": 2, ""12"": 1, ""16"": 2, ""4"": 2, ""5"": 2, ""9"": 1}","{""GSE190260"": 5, ""GSE302356"": 5}","{""LAM1158"": 1, ""LAM1163"": 1, ""LAM1164"": 3, ""LAM3"": 3, ""LAM32"": 1, ""LAM50"": 1}"
PMEL + MITF + CTSK,,3,10,10,4,3,4,"{""1"": 3, ""12"": 4, ""4"": 1, ""5"": 2}","{""GSE190260"": 2, ""GSE217108"": 1, ""GSE302356"": 7}","{""LAM1158"": 1, ""LAM1164"": 1, ""LAM3"": 7, ""LAM32"": 1}"
