cohort,cohort_type,n_cells,n_datasets,n_patients,feature,n,mean,median,q05,q25,q75,q95,detection_fraction_score_gt_0
State_11,consensus_state,3,1,1,normal_lung_interstitial,3,0.6204402248064677,0.5065059065818787,0.3610112488269806,0.42567554116249084,0.75823774933815,0.9596232235431671,1.0
State_11,consensus_state,3,1,1,LAMCORE_777,3,0.3746253351370494,0.40661972761154175,0.29106088280677794,0.342420369386673,0.42282749712467194,0.4357937127351761,1.0
State_11,consensus_state,3,1,1,ciliated,3,0.03276912805934747,0.017821742221713066,0.0017821742221713066,0.008910871110856533,0.049153692089021206,0.07421925198286772,0.6666666666666666
State_11,consensus_state,3,1,1,AT2,3,0.6807103554407755,0.689690351486206,0.5980848670005798,0.6387984156608582,0.7271122932434082,0.75704984664917,1.0
State_11,consensus_state,3,1,1,macrophage,3,0.4745662162701289,0.11445894092321396,0.07491540163755417,0.0924903079867363,0.676588486880064,1.1262921236455439,1.0
State_11,consensus_state,3,1,1,endothelial,3,0.5443164507548014,0.44951486587524414,0.2715801775455475,0.3506622612476349,0.6905698478221893,0.8834138333797454,1.0
State_11,consensus_state,3,1,1,fibroblast,3,0.7904510200023651,0.6164736151695251,0.38614205420017245,0.4885116368532181,1.0054017007350922,1.3165441691875457,1.0
State_11,consensus_state,3,1,1,mesothelial,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_11,consensus_state,3,1,1,pericyte_VSMC,3,0.3669851173957189,0.48658058047294617,0.13765789717435836,0.29273464530706406,0.5010333210229874,0.5125955134630203,1.0
State_11,consensus_state,3,1,1,gene_PMEL,3,0.2585794727007548,0.0,0.0,0.0,0.3878692090511322,0.6981645762920379,0.3333333333333333
State_11,consensus_state,3,1,1,gene_MLANA,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State_11,consensus_state,3,1,1,gene_MITF,3,0.8672960003217062,0.7757384181022644,0.07757384181022645,0.3878692090511322,1.3009440004825592,1.721108466386795,0.6666666666666666
State_11,consensus_state,3,1,1,gene_ACTA2,3,0.08910870552062988,0.0,0.0,0.0,0.13366305828094482,0.24059350490570067,0.3333333333333333
