comparison,target_state,comparator_state,feature,n_target,n_comparator,target_median,comparator_median,median_difference,mannwhitney_u,mannwhitney_pvalue
State_15_vs_State_20,State_15,State_20,protease_ECM_niche,200,756,1.0222324132919312,0.6718044281005859,0.3504279851913452,129327.0,5.344506243091896e-54
State_15_vs_State_20,State_15,State_20,ciliated,200,756,0.0,0.0,0.0,80981.0,0.06322053552700425
State_15_vs_State_20,State_15,State_20,AT2,200,756,0.3526631295681,0.14160171896219254,0.21106141060590744,99437.5,1.1931217737645335e-12
State_15_vs_State_20,State_15,State_20,macrophage,200,756,0.380711168050766,0.07953930646181107,0.3011718615889549,134801.5,4.787347092426287e-68
State_15_vs_State_20,State_15,State_20,endothelial,200,756,0.0,0.07828570157289505,-0.07828570157289505,54558.5,1.9033640007310809e-10
State_15_vs_State_20,State_15,State_20,fibroblast,200,756,1.1730241179466248,1.9816523790359497,-0.808628261089325,22759.0,2.7324643927755398e-52
State_15_vs_State_20,State_15,State_20,mesothelial,200,756,0.0860767513513565,0.0,0.0860767513513565,102364.0,5.5185022070358005e-21
State_15_vs_State_20,State_15,State_20,pericyte_VSMC,200,756,1.87710839509964,0.526625245809555,1.3504831492900848,142462.0,1.29107314130022e-82
State_15_vs_State_12,State_15,State_12,gene_PMEL,200,605,2.5778037309646606,0.0,2.5778037309646606,115809.5,3.3640203259870264e-131
State_15_vs_State_12,State_15,State_12,gene_MLANA,200,605,0.0,0.0,0.0,63106.0,0.0530503168247793
State_15_vs_State_12,State_15,State_12,gene_MITF,200,605,0.7259965240955353,1.1349573135375977,-0.4089607894420624,40715.5,3.2690173189600356e-12
State_15_vs_State_12,State_15,State_12,gene_ACTA2,200,605,3.576776146888733,0.0,3.576776146888733,115135.0,9.00960073260213e-96
State_15_vs_State_12,State_15,State_12,gene_ACTG2,200,605,0.0,0.0,0.0,77766.0,4.042393488380505e-31
State_15_vs_State_12,State_15,State_12,gene_MYH11,200,605,2.3027658462524414,0.0,2.3027658462524414,109237.0,5.741208418003077e-92
State_15_vs_State_12,State_15,State_12,gene_VEGFD,200,605,0.0,0.0,0.0,70922.0,1.1666133406697758e-07
State_15_vs_State_12,State_15,State_12,gene_CTSK,200,605,3.648732900619507,0.0,3.648732900619507,119680.0,1.969523562622014e-103
