removed_patient,target_group,comparator_group,feature,target_cells,comparator_cells,target_mean,comparator_mean,target_median,comparator_median,median_difference,mannwhitney_u,mannwhitney_pvalue
LAM1163,State_15_without_LAM1163,State_7,gene_MLANA,73,521,0.29733575574339255,0.06584015442862849,0.0,0.0,0.0,21763.0,0.00011674501229481577
LAM1163,State_15_without_LAM1163,State_5,gene_MLANA,73,853,0.29733575574339255,0.004236511685224938,0.0,0.0,0.0,37770.5,1.9023392407861318e-30
LAM1163,State_15_without_LAM1163,State_18,gene_MITF,73,153,0.5990314928636159,0.31528303338811287,0.5527706146240234,0.0,0.5527706146240234,7020.0,0.0005582895011201435
LAM1163,State_15_without_LAM1163,State_20,gene_MITF,73,702,0.5990314928636159,0.672908041275974,0.5527706146240234,0.4512587934732437,0.10151182115077972,25088.0,0.7554275038323046
LAM1163,State_15_without_LAM1163,State_12,gene_MITF,73,577,0.5990314928636159,1.1894861000817611,0.5527706146240234,1.1680063009262085,-0.6152356863021851,11904.5,1.2299916541990779e-09
LAM1163,State_15_without_LAM1163,State_7,gene_MITF,73,521,0.5990314928636159,0.9179403756721921,0.5527706146240234,0.8606210350990295,-0.3078504204750061,13971.0,0.0002198441186576388
LAM1163,State_15_without_LAM1163,State_5,gene_MITF,73,853,0.5990314928636159,0.6579791252945679,0.5527706146240234,0.6337382197380066,-0.08096760511398315,28183.0,0.17702025823363643
LAM1163,State_15_without_LAM1163,State_18,gene_ACTA2,73,153,2.861202895641327,3.4569571551933787,3.2465996742248535,3.654012441635132,-0.4074127674102783,4573.0,0.02783833048080962
LAM1163,State_15_without_LAM1163,State_20,gene_ACTA2,73,702,2.861202895641327,0.86583125202829,3.2465996742248535,0.7440720200538635,2.50252765417099,42922.5,4.666899116337631e-23
LAM1163,State_15_without_LAM1163,State_12,gene_ACTA2,73,577,2.861202895641327,0.27040057642259463,3.2465996742248535,0.0,3.2465996742248535,38226.5,1.633313289806668e-39
LAM1163,State_15_without_LAM1163,State_7,gene_ACTA2,73,521,2.861202895641327,0.17906704936855813,3.2465996742248535,0.0,3.2465996742248535,34913.5,2.5721862880262674e-43
LAM1163,State_15_without_LAM1163,State_5,gene_ACTA2,73,853,2.861202895641327,0.3754216422963394,3.2465996742248535,0.35670924186706543,2.889890432357788,55558.0,3.059367417539541e-30
LAM1163,State_15_without_LAM1163,State_18,gene_ACTG2,73,153,0.9073701362087302,1.170738305531296,0.0,1.0213100910186768,-1.0213100910186768,4629.0,0.030819783169846703
LAM1163,State_15_without_LAM1163,State_20,gene_ACTG2,73,702,0.9073701362087302,0.022692677684319325,0.0,0.0,0.0,36228.0,2.3034143009625497e-53
LAM1163,State_15_without_LAM1163,State_12,gene_ACTG2,73,577,0.9073701362087302,0.023309825146425534,0.0,0.0,0.0,29599.0,2.756890059507188e-36
LAM1163,State_15_without_LAM1163,State_7,gene_ACTG2,73,521,0.9073701362087302,0.011287725074735118,0.0,0.0,0.0,26932.0,4.470388065082139e-43
LAM1163,State_15_without_LAM1163,State_5,gene_ACTG2,73,853,0.9073701362087302,0.0039099154061477326,0.0,0.0,0.0,44237.0,3.5924387782285314e-71
LAM1163,State_15_without_LAM1163,State_18,gene_MYH11,73,153,1.5140929793658322,2.5798678487734077,1.9593178033828735,2.8278512954711914,-0.8685334920883179,2828.0,1.81217243513883e-09
LAM1163,State_15_without_LAM1163,State_20,gene_MYH11,73,702,1.5140929793658322,0.07494666297890862,1.9593178033828735,0.0,1.9593178033828735,41975.0,1.2152436779905553e-58
LAM1163,State_15_without_LAM1163,State_12,gene_MYH11,73,577,1.5140929793658322,0.13502360597588575,1.9593178033828735,0.0,1.9593178033828735,33736.0,6.032215543775113e-31
LAM1163,State_15_without_LAM1163,State_7,gene_MYH11,73,521,1.5140929793658322,0.06940521402802897,1.9593178033828735,0.0,1.9593178033828735,31202.0,4.176874159140806e-45
LAM1163,State_15_without_LAM1163,State_5,gene_MYH11,73,853,1.5140929793658322,0.014893859642331793,1.9593178033828735,0.0,1.9593178033828735,51836.0,8.537370681215104e-107
LAM1163,State_15_without_LAM1163,State_18,gene_VEGFD,73,153,0.6421893541127035,0.06343458583152373,0.0,0.0,0.0,7724.5,6.869721264038423e-12
LAM1163,State_15_without_LAM1163,State_20,gene_VEGFD,73,702,0.6421893541127035,0.347392761129939,0.0,0.0,0.0,30579.0,0.0005048006242428986
LAM1163,State_15_without_LAM1163,State_12,gene_VEGFD,73,577,0.6421893541127035,0.11630368240474621,0.0,0.0,0.0,27862.5,5.289240602564949e-11
LAM1163,State_15_without_LAM1163,State_7,gene_VEGFD,73,521,0.6421893541127035,0.06704292487846455,0.0,0.0,0.0,26167.0,1.829601824704413e-19
LAM1163,State_15_without_LAM1163,State_5,gene_VEGFD,73,853,0.6421893541127035,0.006165559238733468,0.0,0.0,0.0,44601.0,1.149263732300003e-69
LAM1163,State_15_without_LAM1163,State_18,gene_CTSK,73,153,3.188111117033109,0.6248952015942218,3.2731215953826904,0.74076247215271,2.5323591232299805,10818.5,1.6020950569833037e-30
LAM1163,State_15_without_LAM1163,State_20,gene_CTSK,73,702,3.188111117033109,1.0836118240641732,3.2731215953826904,1.184206247329712,2.0889153480529785,48061.5,9.927156154369182e-36
LAM1163,State_15_without_LAM1163,State_12,gene_CTSK,73,577,3.188111117033109,0.3668961771077878,3.2731215953826904,0.0,3.2731215953826904,41156.5,3.912778345786271e-46
LAM1163,State_15_without_LAM1163,State_7,gene_CTSK,73,521,3.188111117033109,0.3027481294296067,3.2731215953826904,0.0,3.2731215953826904,37351.0,8.685158743690237e-48
LAM1163,State_15_without_LAM1163,State_5,gene_CTSK,73,853,3.188111117033109,0.35532126090940247,3.2731215953826904,0.0,3.2731215953826904,60713.5,7.799765433222512e-47
LAM1163,State_15_without_LAM1163,State_18,gene_ESR1,73,153,0.6599506756214246,0.06763558041036519,0.7322142720222473,0.0,0.7322142720222473,8525.0,7.106497046310253e-18
LAM1163,State_15_without_LAM1163,State_20,gene_ESR1,73,702,0.6599506756214246,0.5612220662696409,0.7322142720222473,0.0,0.7322142720222473,29119.5,0.030526225780565894
LAM1163,State_15_without_LAM1163,State_12,gene_ESR1,73,577,0.6599506756214246,0.5162807527406583,0.7322142720222473,0.4548712968826294,0.2773429751396179,23741.5,0.06361540017252179
LAM1163,State_15_without_LAM1163,State_7,gene_ESR1,73,521,0.6599506756214246,0.4227284795091614,0.7322142720222473,0.0,0.7322142720222473,23059.0,0.0015614502333263281
LAM1163,State_15_without_LAM1163,State_5,gene_ESR1,73,853,0.6599506756214246,0.16410187028287304,0.7322142720222473,0.0,0.7322142720222473,44518.0,4.22711728606847e-14
LAM1163,State_15_without_LAM1163,State_18,HOX_PBX_markers,73,153,0.490733437138061,0.001461756287836561,0.4218160808086395,0.0,0.4218160808086395,9473.0,1.820745224759822e-30
LAM1163,State_15_without_LAM1163,State_20,HOX_PBX_markers,73,702,0.490733437138061,0.000884598136967064,0.4218160808086395,0.0,0.4218160808086395,43486.0,2.4467924558431632e-113
LAM1163,State_15_without_LAM1163,State_12,HOX_PBX_markers,73,577,0.490733437138061,0.0017056053236410977,0.4218160808086395,0.0,0.4218160808086395,35720.0,8.840068305875968e-90
LAM1163,State_15_without_LAM1163,State_7,HOX_PBX_markers,73,521,0.490733437138061,0.0,0.4218160808086395,0.0,0.4218160808086395,32302.0,3.334196689580392e-88
LAM1163,State_15_without_LAM1163,State_5,HOX_PBX_markers,73,853,0.490733437138061,0.0010942243397725005,0.4218160808086395,0.0,0.4218160808086395,52837.0,4.1209130323457947e-131
LAM1163,State_15_without_LAM1163,State_18,HOX_PBX,73,153,0.366898325310178,0.15868754925973275,0.3334769010543823,0.13566017150878906,0.19781672954559326,9329.0,2.996452582786785e-16
LAM1163,State_15_without_LAM1163,State_20,HOX_PBX,73,702,0.366898325310178,0.24629964609431404,0.3334769010543823,0.1753126159310341,0.15816428512334824,35620.0,3.2419490543406554e-08
LAM1163,State_15_without_LAM1163,State_12,HOX_PBX,73,577,0.366898325310178,0.24315628464264308,0.3334769010543823,0.21486037969589233,0.11861652135848999,29431.0,2.8884053105879436e-08
LAM1163,State_15_without_LAM1163,State_7,HOX_PBX,73,521,0.366898325310178,0.17080696019739083,0.3334769010543823,0.12065833061933517,0.21281857043504715,30262.0,1.065451650775987e-16
LAM1163,State_15_without_LAM1163,State_5,HOX_PBX,73,853,0.366898325310178,0.010750612752798155,0.3334769010543823,0.0,0.3334769010543823,61182.0,9.006194240234439e-81
LAM1163,State_15_without_LAM1163,State_18,LAM_myogenic_contractile,73,153,2.025472399306624,2.836421933828616,1.9179513454437256,3.03669810295105,-1.1187467575073242,3047.0,3.40180085663698e-08
LAM1163,State_15_without_LAM1163,State_20,LAM_myogenic_contractile,73,702,2.025472399306624,0.7593833705214014,1.9179513454437256,0.6809127330780029,1.2370386123657227,45228.0,4.8083140316116615e-27
LAM1163,State_15_without_LAM1163,State_12,LAM_myogenic_contractile,73,577,2.025472399306624,0.23057997764525628,1.9179513454437256,0.1690855622291565,1.748865783214569,41633.0,2.3319493367542914e-42
LAM1163,State_15_without_LAM1163,State_7,LAM_myogenic_contractile,73,521,2.025472399306624,0.07761048832675889,1.9179513454437256,0.0,1.9179513454437256,37935.0,3.2679810720140477e-47
LAM1163,State_15_without_LAM1163,State_5,LAM_myogenic_contractile,73,853,2.025472399306624,0.10201822529827514,1.9179513454437256,0.07943068444728851,1.838520660996437,62007.0,3.151951882993245e-45
LAM1163,State_15_without_LAM1163,State_18,ECM_remodeling,73,153,1.2491034722491487,0.8048111277760244,1.2104227542877197,0.7235453128814697,0.48687744140625,8331.0,2.3139130582160166e-09
LAM1163,State_15_without_LAM1163,State_20,ECM_remodeling,73,702,1.2491034722491487,1.3303491437537038,1.2104227542877197,1.328818678855896,-0.11839592456817627,22803.0,0.12142420129860922
LAM1163,State_15_without_LAM1163,State_12,ECM_remodeling,73,577,1.2491034722491487,0.3036487215623079,1.2104227542877197,0.25973203778266907,0.9506907165050507,40633.0,2.3358434545473728e-38
LAM1163,State_15_without_LAM1163,State_7,ECM_remodeling,73,521,1.2491034722491487,0.10328931066488235,1.2104227542877197,0.07695788145065308,1.1334648728370667,37959.0,1.1329193107541596e-43
LAM1163,State_15_without_LAM1163,State_5,ECM_remodeling,73,853,1.2491034722491487,0.31746014579038756,1.2104227542877197,0.3025760352611542,0.9078467190265656,61065.0,2.1171910212670458e-42
