patient_id,feature,state15_cells,rest_of_candidate_cells,state15_mean,rest_mean,delta_mean,state15_median,rest_median,delta_median,mannwhitney_u,mannwhitney_pvalue,delta_mean_direction
LAM1,HOX_PBX_markers,25,50,0.605278953909874,0.015496305227279662,0.5897826486825943,0.5484941601753235,0.0,0.5484941601753235,1113.0,9.709592608192677e-12,positive
LAM1,HOX_PBX,25,50,0.32576176553964614,0.034309974908828735,0.2914517906308174,0.2879536747932434,0.0,0.2879536747932434,1194.0,1.574420459356963e-11,positive
LAM1,LAM_myogenic_contractile,25,50,2.612191321849823,0.4506820350885391,2.1615092867612837,2.784217596054077,0.08982641622424126,2.694391179829836,1184.0,3.4517227970785675e-10,positive
LAM1,ECM_remodeling,25,50,0.8461693251132965,0.2300526888668537,0.6161166362464428,0.7857381105422974,0.11520907655358315,0.6705290339887142,1162.0,1.61800006822388e-09,positive
LAM1,mTOR_translation,25,50,1.5320057773590088,1.733784418106079,-0.2017786407470703,1.618432879447937,1.721942663192749,-0.10350978374481201,374.0,0.004872005057321844,negative_or_equal
LAM1,hormone_related,25,50,0.10971535623073578,0.06223970666527748,0.0474756495654583,0.11199851334095001,0.05047156848013401,0.061526944860816,775.0,0.08528560722444176,positive
LAM1,protease_ECM_niche,25,50,0.843258593082428,0.7224447447061538,0.12081384837627418,0.8179470896720886,0.7779970169067383,0.03995007276535034,745.0,0.179251233837194,positive
LAM1,ciliated,25,50,0.019458968192338943,0.03418518763035536,-0.014726219438016414,0.0,0.0,0.0,763.0,0.039103838032791535,negative_or_equal
LAM1,AT2,25,50,1.0991256475448608,1.4607853043079375,-0.36165965676307676,0.8352323770523071,0.9296901524066925,-0.09445777535438538,517.0,0.22697199655941813,negative_or_equal
LAM1,macrophage,25,50,0.7602467828989029,2.2269670140743254,-1.4667202311754224,0.5821579098701477,2.8997981548309326,-2.317640244960785,305.0,0.0003295759993266313,negative_or_equal
LAM1,endothelial,25,50,0.027501411885023117,0.05502402517944574,-0.027522613294422623,0.0,0.05023013427853584,-0.05023013427853584,430.0,0.021097069223728237,negative_or_equal
LAM1,fibroblast,25,50,0.7237036621570587,0.3176148449629545,0.4060888171941042,0.5924900770187378,0.18349117040634155,0.40899890661239624,1141.0,6.877669865911385e-09,positive
LAM1,mesothelial,25,50,0.05216630905866623,0.013332549780607224,0.03883375927805901,0.0,0.0,0.0,791.0,0.0062095384074919895,positive
LAM1,pericyte_VSMC,25,50,1.7528539657592774,0.30547320041805504,1.4473807653412223,1.8561451435089111,0.05988427810370922,1.796260865405202,1182.0,3.987402371400695e-10,positive
LAM1158,LAMCORE_777,10,172,0.5091120451688766,0.15715243599139328,0.35195960917748337,0.5178163051605225,0.06508460268378258,0.4527317024767399,1689.0,3.128078846197686e-07,positive
LAM1158,CORE1,10,172,1.6238578408956528,0.35840753545486476,1.265450305440788,1.8321029543876648,0.08602329716086388,1.746079657226801,1532.0,3.3196688796528764e-05,positive
LAM1158,CORE2,10,172,1.3578256249427796,0.27747584753778093,1.0803497774049986,1.4379189610481262,0.2720121741294861,1.1659067869186401,1715.0,1.3196294079320355e-07,positive
LAM1158,CORE3_identity,10,172,1.7537896454334259,0.2550424271544745,1.4987472182789514,1.9382744431495667,0.1744895800948143,1.7637848630547523,1710.0,1.560905393952859e-07,positive
LAM1158,gene_PMEL,10,172,2.5048156082630157,0.05265013128519058,2.452165476977825,2.6133211851119995,0.0,2.6133211851119995,1616.5,1.7038246317076497e-14,positive
LAM1158,gene_MLANA,10,172,0.4251353144645691,0.0005661110978486926,0.4245692033667204,0.0,0.0,0.0,1201.0,1.1277753954590277e-13,positive
LAM1158,gene_MITF,10,172,0.779897540807724,0.5647866513666718,0.21511088944105217,0.8077322542667389,0.5736807584762573,0.23405149579048157,1049.0,0.24369820510780038,positive
LAM1158,gene_ACTA2,10,172,3.4559212625026703,0.6351069362704144,2.820814326232256,3.95946204662323,0.32120126485824585,3.638260781764984,1625.0,1.5299774888034277e-06,positive
LAM1158,gene_ACTG2,10,172,1.7209087252616881,0.15949566696965417,1.561413058292034,1.4228139519691467,0.0,1.4228139519691467,1321.0,5.116887507305878e-07,positive
LAM1158,gene_MYH11,10,172,1.633799636363983,0.2294955438132896,1.4043040925506936,1.8626062870025635,0.0,1.8626062870025635,1368.5,9.581892734368443e-08,positive
LAM1158,gene_VEGFD,10,172,0.9979506731033325,0.051894996921683464,0.9460556761816491,0.5704812407493591,0.0,0.5704812407493591,1337.0,5.614557135738904e-09,positive
LAM1158,gene_CTSK,10,172,3.563601350784302,0.4239918431916902,3.1396095075926116,3.5694234371185303,0.0,3.5694234371185303,1708.0,8.177067526989167e-09,positive
LAM1158,gene_ESR1,10,172,0.5492059111595153,0.05630031652575315,0.49290559463376216,0.5629239976406097,0.0,0.5629239976406097,1318.0,9.257438072587885e-06,positive
LAM1158,HOX_PBX_markers,10,172,0.2628944247961044,0.0,0.2628944247961044,0.29302965104579926,0.0,0.29302965104579926,1376.0,7.803567291345081e-25,positive
LAM1158,HOX_PBX,10,172,0.32536055743694303,0.054727888016333416,0.2706326694206096,0.31928592920303345,0.0,0.31928592920303345,1635.0,3.388922296750433e-07,positive
LAM1158,LAM_myogenic_contractile,10,172,2.2970510601997374,0.5109510724811793,1.7860999877185582,2.5248332023620605,0.11166452243924141,2.413168679922819,1551.0,1.9909454116791167e-05,positive
LAM1158,ECM_remodeling,10,172,1.2961726486682892,0.6076459765087726,0.6885266721595166,1.0666513741016388,0.3508557677268982,0.7157956063747406,1453.0,0.00025380943249511597,positive
LAM1158,mTOR_translation,10,172,1.6874030470848083,1.7406167214693025,-0.0532136743844942,1.737130880355835,1.703869104385376,0.033261775970458984,798.0,0.7041451596886588,negative_or_equal
LAM1158,hormone_related,10,172,0.26223608404397963,0.061247106089235046,0.20098897795474457,0.19488418102264404,0.0,0.19488418102264404,1569.0,2.4631615032488983e-06,positive
