contrast,gene,direction,signed_score,moderated_q,default_cmap_query
escape_plastic,ZDHHC24,up,0.770635344122033,0.0262261130032683,True
escape_plastic,ELN,up,2.326331667828067,0.0267222154164681,True
escape_plastic,MIR23AHG,up,0.6835889432526994,0.0270289618735928,True
escape_plastic,ABTB1,up,1.0173155542602528,0.0285341348210667,True
escape_plastic,ID3,up,1.2514912301196173,0.0287975539749939,True
escape_plastic,CYP2T1P,up,1.7457935873594443,0.0290724878771197,True
escape_plastic,AC063952.1,up,0.90589459361865,0.0299981263730205,True
escape_plastic,ZNF239,up,0.7605058995093597,0.0300131781582689,True
escape_plastic,LAMA4-AS1,up,0.977569755225438,0.030460959880721,True
escape_plastic,EMC1-AS1,up,1.057836869077294,0.0310442810348812,True
escape_plastic,YLPM1,up,0.6763952708465997,0.0314274652633653,True
escape_plastic,LINC00324,up,1.7118205539795206,0.0324302857931674,True
escape_plastic,TMEM128,up,0.6511498455137277,0.0326068649807645,True
escape_plastic,FLOT1,up,0.5173989411234388,0.0329804414376254,True
escape_plastic,FANCG,up,1.1177497703465635,0.0332274069591594,True
escape_plastic,OLFML3,up,0.6181480383462574,0.0332834101777924,True
escape_plastic,DLC1,up,0.6101034053782852,0.0334126730128567,True
escape_plastic,RPS25,up,0.5478984626985124,0.0335524477262747,True
escape_plastic,MLH1,up,0.626996307167957,0.0349153756581293,True
escape_plastic,LINC00707,up,0.6492248420658272,0.0349683277779702,True
escape_plastic,EFHC1,up,0.744372374416109,0.0353605804954526,True
escape_plastic,LAMP3,down,-3.6287267388905793,2.3949268758246676e-05,True
escape_plastic,SPAG4,down,-3.034751368505151,0.0002872474333304,True
escape_plastic,SLC38A11,down,-1.7889937701047574,0.0002872474333304,True
escape_plastic,MT3,down,-1.724335769820698,0.0002872474333304,True
escape_plastic,CYSTM1,down,-1.6287510010410309,0.000633570790555,True
escape_plastic,HSD17B14,down,-2.0302685577074877,0.0007280259261228,True
escape_plastic,TPBG,down,-1.2600921332806263,0.0007280259261228,True
escape_plastic,CABP1,down,-1.0444839839488078,0.0007705417389864,True
escape_plastic,DDIT3,down,-1.623064829824576,0.0008361805165488,True
escape_plastic,VEGFA,down,-1.6316930573086568,0.0010364463762789,True
escape_plastic,SPNS1,down,-0.8179074725829625,0.0010364463762789,True
escape_plastic,LYN,down,-1.3338972807622884,0.0011185739215762,True
escape_plastic,SV2A,down,-1.0833658500086092,0.0011185739215762,True
escape_plastic,TVP23C,down,-0.7226471571735351,0.0016017816553802,True
escape_plastic,TMEM74B,down,-1.0627711491521037,0.0017125750717351,True
escape_plastic,SLC6A8,down,-1.6537053488425797,0.0018763070856304,True
escape_plastic,AC011586.2,down,-1.1438538143925014,0.0018763070856304,True
escape_plastic,GDF15,down,-2.343134912798189,0.0021633635829275,True
escape_plastic,ZP1,down,-1.1993325683110905,0.0023524567837098,True
escape_plastic,ARMC9,down,-1.3192339706606755,0.0024981837583109,True
escape_plastic,ITGB2-AS1,down,-0.5363018170436123,0.0028578905707958,True
escape_plastic,HILPDA,down,-1.6156990365471384,0.0028771794049654,True
escape_plastic,EGLN3,down,-2.8727173086718345,0.0034164780182476,True
escape_plastic,CA9,down,-2.4739199246222108,0.0034164780182476,True
escape_plastic,WSB2,down,-0.7997350234492586,0.0034164780182476,True
escape_plastic,GBE1,down,-1.3215791184603307,0.0038461144171596,True
escape_plastic,TRIB3,down,-2.2193444447123714,0.0039829594417053,True
escape_plastic,EDEM1,down,-1.0958321747381436,0.0039829594417053,True
escape_plastic,HSPA9,down,-1.0144261860744828,0.0039829594417053,True
escape_plastic,DUSP3,down,-0.8074497209532563,0.0044098959534551,True
escape_plastic,GPR146,down,-1.2288880450655486,0.0047239113076511,True
escape_plastic,ERO1A,down,-1.5849651328732088,0.0047762184158406,True
escape_plastic,NEU1,down,-1.2595041490008114,0.0049182721815679,True
escape_plastic,PKM,down,-0.9335694742986718,0.0049182721815679,True
escape_plastic,PYGB,down,-0.6860362338527937,0.0049182721815679,True
escape_plastic,SPTBN4,down,-1.9913194092915616,0.0050587607828897,True
escape_plastic,UNC5B,down,-1.3558574978557811,0.0050587607828897,True
escape_plastic,ENO2,down,-1.5113077735483142,0.0051629158774097,True
escape_plastic,CCL26,down,-0.8871697109725794,0.0052372259825499,True
escape_plastic,AC145207.2,down,-1.6041406558602014,0.0057360191650685,True
escape_plastic,ALKBH5,down,-0.7429971668731046,0.0057360191650685,True
escape_plastic,AC089983.1,down,-0.6239964607991402,0.0057360191650685,True
escape_plastic,NFIL3,down,-0.8687403260946698,0.005834683464015,True
escape_plastic,SQSTM1,down,-1.4046657420733872,0.0059100333131315,True
escape_plastic,FAM162A,down,-1.2041626881247138,0.0059100333131315,True
escape_plastic,FGF11,down,-2.0409710214966785,0.0059482264003316,True
escape_plastic,HEXB,down,-1.2378480353629169,0.0059482264003316,True
escape_plastic,BEX2,down,-1.485449906027661,0.0061681906150967,True
escape_plastic,LAMP2,down,-0.6336126455615627,0.0061681906150967,True
escape_plastic,MOSPD1,down,-1.0993685457995337,0.0064606454880292,True
escape_plastic,SCARB1,down,-1.4086664415545398,0.0066044254327874,True
escape_plastic,NDUFA4L2,down,-2.657766878358138,0.006885415069222,True
escape_plastic,SLITRK6,down,-1.4147614732171934,0.006885415069222,True
escape_plastic,CKB,down,-1.090316799138361,0.0069276367893128,True
escape_plastic,SDCBP,down,-0.8790108379260815,0.0069276367893128,True
escape_plastic,APLN,down,-2.4121680534557237,0.0070361205821915,True
escape_plastic,CLN3,down,-0.8082211978477742,0.0072104968740867,True
escape_plastic,LURAP1L,down,-0.7526177724066625,0.0072554852255099,True
escape_plastic,ASB5,down,-2.020739477069018,0.0073156410883991,True
escape_plastic,ME1,down,-1.0338823497534966,0.0073630765701867,True
escape_plastic,DSG2,down,-1.4703172586929647,0.0081338805473107,True
escape_plastic,RBCK1,down,-0.6131124005731583,0.0082124429083809,True
escape_plastic,ITGA11,down,-1.5991124726656063,0.0082412593778271,True
escape_plastic,SAP30,down,-1.0382385910298852,0.0083181319155118,True
escape_plastic,FAM131C,down,-0.7752701633179793,0.0084001065070817,True
escape_plastic,OSGIN1,down,-1.7166321293209654,0.0090765793107627,True
escape_plastic,ZNF395,down,-1.5311665154766567,0.0090765793107627,True
escape_plastic,VEGFB,down,-1.3102925815685165,0.0090765793107627,True
escape_plastic,MKNK2,down,-1.2189972369095186,0.009172182167178,True
escape_plastic,MAP1A,down,-0.6595202468185284,0.009172182167178,True
escape_plastic,GAPLINC,down,-0.789793392310294,0.0096309793643775,True
escape_plastic,SLC6A15,down,-1.0109067100682605,0.0100198499004987,True
escape_plastic,ARFGEF3,down,-1.1480385220044431,0.0101842511883591,True
escape_plastic,SLC38A6,down,-0.7859276224711298,0.0101842511883591,True
escape_plastic,TXN,down,-0.6058150654162304,0.0101842511883591,True
escape_plastic,ADAMTS9-AS2,down,-0.995222719070896,0.0101961654180437,True
escape_plastic,PEPD,down,-0.8054633165966005,0.0103134802201958,True
escape_plastic,WARS1,down,-0.9591019933880228,0.0108038938282307,True
escape_plastic,P4HA2,down,-0.9036001552680606,0.0108595172413071,True
escape_plastic,ABHD12,down,-0.5630503398358169,0.0108595172413071,True
escape_plastic,GBA,down,-1.0579796657033818,0.0111868948307824,True
escape_plastic,RAB29,down,-0.8285866877799535,0.0118430617538877,True
escape_plastic,TOMM34,down,-0.5889295965019965,0.011870825010711,True
escape_plastic,SLC38A7,down,-0.874484807554218,0.0121948154704776,True
escape_plastic,GALNT18,down,-1.419937144590266,0.0125384993139056,True
escape_plastic,ITGA5,down,-1.1424694659723489,0.0125384993139056,True
escape_plastic,INSIG2,down,-0.8777800711323884,0.0133749120901348,True
escape_plastic,BCL2L1,down,-0.7035086463458313,0.0137532338355972,True
escape_plastic,TMEM158,down,-1.6947644674738256,0.0141365052192738,True
escape_plastic,SNTA1,down,-0.909482630452254,0.0141365052192738,True
escape_plastic,MCOLN3,down,-1.391608356290288,0.0145125602813183,True
escape_plastic,LRRC25,down,-1.5558275587478518,0.0149139547809846,True
escape_plastic,NPC2,down,-1.2388868881491415,0.0150516353315247,True
