gene,environment,n_replicates,replicate_pre_effects,replicate_post_effects,mean_pre_effect,mean_post_effect,suppression_fraction,category,baseline_effect_size_pass,baseline_direction_concordant,post_direction_concordant,replicate_retention_eligible,modules
KLRC1,hydrogel,2,-0.0325871;0.00121643,0.00182419;0.00300991,-0.0156853230795549,0.00241705132891,,insufficient,False,False,True,False,nk_state;nk_markers
KLRC1,plastic,2,0.00204358;-0.0174264,0.000245585;0.00194789,-0.0076914025096049,0.00109673641715,,insufficient,False,False,True,False,nk_state;nk_markers
KLRD1,hydrogel,2,-0.0611009;0.414675,0.523068;-1.05936,0.1767869905827153,-0.2681478377951001,,insufficient,False,False,False,False,nk_state;nk_markers
KLRD1,plastic,2,-0.00345648;-1.04507,-1.16687;-0.948334,-0.52426139385331,-1.05760071033026,-1.0173156420252831,enhanced_or_reprogrammed,True,False,True,False,nk_state;nk_markers
LAG3,hydrogel,2,-0.0384524;0.0572671,0.00184399;-0.115882,0.0094073783735204,-0.0570189772478634,,insufficient,False,False,False,False,t_cell_exhaustion
LAG3,plastic,2,0.0583923;0.465756,0.000260133;0.0023087,0.2620740358569659,0.0012844156943324,,insufficient,False,False,True,False,t_cell_exhaustion
LGALS9,hydrogel,2,-0.875289;0.852008,-0.365576;-0.714732,-0.0116404681354247,-0.5401544342417299,,insufficient,False,False,True,False,immune_evasion
LGALS9,plastic,2,0.30963;0.558061,-0.0352734;-0.0349713,0.433845306174685,-0.0351223542027347,,insufficient,False,False,True,False,immune_evasion
LGR5,hydrogel,2,-0.494913;-0.0877148,0.490887;-0.72211,-0.2913137305959949,-0.115611232163745,,insufficient,False,False,False,False,stem_like
LGR5,plastic,2,-0.56486;-0.278724,0.69646;-0.433756,-0.42179203323005,0.1313517947421552,,insufficient,False,False,False,False,stem_like
LST1,hydrogel,2,0.0477081;-0.274832,0.0012952;0.00243947,-0.1135619070161969,0.0018673364155304,,insufficient,False,False,True,False,macrophage_suppressive;macrophage_markers
LST1,plastic,2,-0.220156;-0.0006072,0.124227;0.00162541,-0.110381835822241,0.0629260838910354,,insufficient,False,False,True,False,macrophage_suppressive;macrophage_markers
MDK,hydrogel,2,-1.41276;-1.21149,-0.750151;-0.726585,-1.3121258341383992,-0.7383677138723499,0.4372737014531878,partially_retained,True,True,True,True,stem_like
MDK,plastic,2,-1.3124;-1.18205,-0.578116;-0.670655,-1.2472242815779504,-0.6243852595696007,0.4993801285045162,partially_retained,True,True,True,True,stem_like
MICA,hydrogel,2,1.16596;1.25831,0.202551;0.154198,1.2121324823098494,0.1783747790771501,0.8528421755209152,suppressed,True,True,True,True,nk_ligands
MICA,plastic,2,0.755613;0.929038,0.312217;0.203061,0.8423254862392007,0.2576392053331,0.6941334323345685,partially_retained,True,True,True,True,nk_ligands
MICB,hydrogel,2,1.24244;0.661451,0.4761;0.0421311,0.95194338293808,0.2591155977181403,0.7278035623101813,partially_retained,True,True,True,True,nk_ligands
MICB,plastic,2,0.759495;0.364762,0.588781;0.519929,0.5621286538759698,0.5543548358773052,0.0138292505551226,fully_retained,True,False,True,False,nk_ligands
MITF,hydrogel,2,-0.371032;-0.5582,0.212808;-0.150528,-0.4646158274044492,0.0311404059634003,,insufficient,False,False,False,False,antigen_associated
MITF,plastic,2,-0.572601;-0.193382,-0.0163384;0.0296331,-0.3829916029544993,0.0066473914296487,,insufficient,False,False,False,False,antigen_associated
MLANA,hydrogel,2,0.0168795;0.229999,-0.670077;-0.0565077,0.1234390214985501,-0.3632924475467649,,insufficient,False,False,True,False,antigen_associated
MLANA,plastic,2,-0.0361297;-0.00929792,0.122689;-0.534233,-0.0227137998720601,-0.20577213104059,,insufficient,False,False,False,False,antigen_associated
NANOG,hydrogel,2,0.00287437;-1.32922,0.031942;-0.17109,-0.66317090323505,-0.0695738528472651,0.8950891052248023,suppressed,True,False,False,False,stem_like
NANOG,plastic,2,0.235397;-0.528271,0.0579579;0.00798301,-0.14643720532039,0.0329704426897798,,insufficient,False,False,True,False,stem_like
NECTIN2,hydrogel,2,0.185208;0.172625,0.090806;0.242852,0.1789162666944994,0.1668289401069502,,insufficient,False,False,True,False,immune_evasion
NECTIN2,plastic,2,-0.110243;0.0914706,-0.148474;-0.270473,-0.0093860399248502,-0.2094736728245001,,insufficient,False,False,True,False,immune_evasion
NES,hydrogel,2,-0.328992;-0.812892,-0.343947;-0.400107,-0.5709420392212299,-0.3720269053524752,0.3483981213576018,partially_retained,True,False,True,False,stem_like
NES,plastic,2,-0.432975;-0.342509,-0.730199;-0.257364,-0.3877423146286101,-0.4937817361683749,,insufficient,False,False,True,False,stem_like
NFKBIA,hydrogel,2,-0.651005;-0.542911,-0.052627;0.361586,-0.5969582299546499,0.1544795372293999,1.258777799647951,suppressed,True,True,False,True,inflammatory
NFKBIA,plastic,2,-0.250571;-0.170349,-0.0864968;0.339736,-0.2104601594774493,0.1266194227632002,,insufficient,False,False,False,False,inflammatory
NKG7,hydrogel,2,0.000356923;-0.0542214,0.000796283;-0.108994,-0.0269322519151594,-0.054098888177639,,insufficient,False,False,False,False,cd8_cytotoxicity;nk_state;nk_markers
NKG7,plastic,2,-0.0362315;-0.0899277,0.000112487;0.00100231,-0.063079631884445,0.0005573999198265,,insufficient,False,False,True,False,cd8_cytotoxicity;nk_state;nk_markers
NLRC5,hydrogel,2,0.206396;0.737962,0.0640995;0.341254,0.472179269788775,0.202676571258535,,insufficient,False,False,True,False,presentation_machinery
NLRC5,plastic,2,0.547003;-0.520631,0.101903;0.592604,0.01318597561401,0.34725355920013,,insufficient,False,False,True,False,presentation_machinery
PDCD1,hydrogel,2,0.00172804;0.00283786,0.00253861;0.00702196,0.00228295221396,0.0047802857746548,,insufficient,False,False,True,False,t_cell_exhaustion
PDCD1,plastic,2,0.00412449;-0.27391,0.000572937;0.00454431,-0.1348929961639824,0.002558625799625,,insufficient,False,False,True,False,t_cell_exhaustion
