dataset,assay,gene,gene_in_matrix,n_positive_observations,low_expression_upper_bound,high_expression_lower_bound,expression_interval_stable,interval_basis
GSE190260,scRNA,MICA,True,3511,0.5323989018441333,1.1816926264644074,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,MICB,True,1130,0.6275924931935355,1.698051142857651,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,MITF,True,4817,0.6253017205458474,1.1533299164653787,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,MLANA,True,49,0.5735712916068529,1.2238883844926505,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,NANOG,True,22,0.388517499673557,0.9381209195632966,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,NES,True,641,0.7724636815554308,1.7504814557453703,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,NFKBIA,True,32662,1.8791563700222174,3.166625134524323,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,NKG7,True,8664,2.64876036619565,4.244808311185625,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,NLRC5,True,1989,0.6820354088221712,1.7453895417702476,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,PDCD1,True,547,1.0761286504148733,1.9783139966114085,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,PDCD1LG2,True,1107,0.5903960845783863,1.016429990114809,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,PMEL,True,397,0.7717120885422207,2.6990331376955234,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,PRF1,True,4852,1.8240378849378969,2.771768814142705,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,PROM1,True,1441,0.716166430515241,1.7373270518197887,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,PSMB8,True,13679,0.7916013984049215,1.669860891841021,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,PSMB9,True,12870,0.8511256162569679,1.7899908504952977,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,PVR,True,2834,0.49252068201449134,0.9475345040454645,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,SOX2,True,2105,0.763866043727049,1.639544898427663,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,STAT1,True,7592,0.6465839138433234,1.3482360280133847,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,TAP1,True,6523,0.6956567287531461,1.750088459035904,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,TAP2,True,2055,0.5806242350655273,1.250891305052144,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,TAPBP,True,16891,0.8292383007547128,1.6429001126744052,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,TIGIT,True,1081,1.3904335956280698,2.0664261735677654,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,TNFAIP3,True,18775,1.1017554777160998,2.5740902215474706,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,TOX,True,3066,0.6258172576276472,1.5409199927583506,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,TRBC1,True,5347,1.6251410354648483,2.512673271039079,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,TRBC2,True,4220,1.4955981473397588,2.259774565267962,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,TREM2,True,3133,0.7601947922428961,1.4367935622359589,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,TYROBP,True,17663,2.5842730341393083,3.684259123628509,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,TYRP1,True,18,,,False,nonzero normalized expression within dataset x assay
GSE190260,scRNA,ULBP1,True,243,0.524697509611046,1.0247336573195975,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,ULBP2,True,870,0.808007950007432,1.894456746234488,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,ULBP3,True,101,0.4729852698461022,1.1098029137419911,True,nonzero normalized expression within dataset x assay
GSE190260,scRNA,NECTIN2,False,0,,,False,not_assayed
GSE190260,scRNA,ULBP4,False,0,,,False,not_assayed
GSE190260,scRNA,ULBP5,False,0,,,False,not_assayed
GSE190260,scRNA,ULBP6,False,0,,,False,not_assayed
GSE190260,scRNA,VEGFD,False,0,,,False,not_assayed
