dataset,assay,gene,gene_in_matrix,n_positive_observations,low_expression_upper_bound,high_expression_lower_bound,expression_interval_stable,interval_basis
GSE302356,multiome_GEX,PDCD1,True,56,0.308211550435581,1.1628382366209522,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,PDCD1LG2,True,415,0.410443179547891,1.041580210257953,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,PMEL,True,211,0.49296038806817344,1.1051452587406163,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,PRF1,True,202,0.4000808768548921,1.6942967851915969,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,PROM1,True,1366,0.93397208515247,1.9248385524847338,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,PSMB8,True,1010,0.4258362664383325,0.9748795656704543,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,PSMB9,True,1305,0.474655047069767,1.1407193842796894,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,PVR,True,2190,0.509519047406485,1.0273459591484198,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,SOX2,True,652,0.4563840448328828,0.93285384231332,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,STAT1,True,4340,0.6878810076228115,1.4099609784805804,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,TAP1,True,986,0.41247829647251344,1.0497920957496125,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,TAP2,True,1192,0.4018527030327488,0.9760369520689385,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,TAPBP,True,3797,0.6329502470121944,1.1913679151623535,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,TIGIT,True,182,0.44489885965758935,1.4611397689038066,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,TNFAIP3,True,2284,0.5883071511260636,1.3672145614635909,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,TOX,True,5732,1.4309536726213246,2.685363873278537,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,TRBC1,True,154,0.48707784669264914,1.6441872587685757,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,TRBC2,True,208,0.421637967518789,1.6152682851020035,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,TREM2,True,271,0.3914452510406242,1.0047456522560136,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,TYROBP,True,1688,0.6705203779221658,1.6089848115073968,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,TYRP1,True,22,0.17969442414219117,0.8698824670016714,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,ULBP1,True,17,,,False,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,ULBP2,True,27,0.39441944391458816,0.8040607729839586,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,ULBP3,True,59,0.29796639055120305,0.7755390582312783,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,VEGFD,True,417,0.4241128945571357,1.0759373531520458,True,nonzero normalized expression within dataset x assay
GSE302356,multiome_GEX,FIGF,False,0,,,False,not_assayed
GSE302356,multiome_GEX,ULBP4,False,0,,,False,not_assayed
GSE302356,multiome_GEX,ULBP5,False,0,,,False,not_assayed
GSE302356,multiome_GEX,ULBP6,False,0,,,False,not_assayed
GSE302356,scRNA,ACTA2,True,2030,1.0517411230877756,3.5793422231415026,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,AIF1,True,2840,1.8202653361268424,2.888052514675687,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,APOE,True,2104,1.0211680046261638,2.612584782752653,True,nonzero normalized expression within dataset x assay
GSE302356,scRNA,B2M,True,12265,4.039852254988789,4.977113269883794,True,nonzero normalized expression within dataset x assay
