filter_row_id,dataset,canonical_query_hash,query_id,contrast,perturbation_key,perturbation_class,pert_iname,median_reversal_WTCS,median_reversal_NCS,max_reversal_NCS,fraction_reversed,n_signatures,n_cells,n_query_sizes,query_size_stable,exploratory,applicable_target_sizes,pert_type,q25_reversal_NCS,q75_reversal_NCS,best_context,cross_phase_status,measured_in_other_dataset,tier,tier1_eligible,row_direction_class,unique_drug_id
101,GSE92742,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::fadrozole,compound,fadrozole,0.26530343,1.0043595678258517,1.021306847408375,1.0,3,2,1,True,False,150,trt_cp,1.0001020907017333,1.0128332076171134,PC3|10 µM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::fadrozole
62,GSE92742,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::niacin,compound,niacin,0.26934952,0.9951865144279805,1.449296949021042,0.56,25,11,1,True,False,150,trt_cp,-0.0,1.1562161342179824,HT29|10 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::niacin
221,GSE70138,9a55b2df380a0926,tsc2_loss_hydrogel__q77x61__9a55b2df380a0926,tsc2_loss_hydrogel,compound::homoharringtonine,compound,homoharringtonine,0.27221847,0.9921970399684796,1.6945558204770008,0.5789473684210527,38,7,1,True,False,100,trt_cp,0.0,1.3215612184053556,HELA|1.11 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::homoharringtonine
86,GSE92742,5e6e39a3cacf5878,tsc2_loss_plastic__q110x94__5e6e39a3cacf5878,tsc2_loss_plastic,compound::ql-x-138,compound,QL-X-138,0.25794268,0.99187723647016,1.5962578707020263,0.7121212121212122,66,19,1,True,False,150,trt_cp,0.0,1.1983419570842713,MCF7|10 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::qlx138
256,GSE70138,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::ly-294002,compound,LY-294002,0.2665444,0.9851899946920412,1.4337256481809633,0.7857142857142857,14,5,1,True,False,150,trt_cp,0.8407050169348906,1.1290054092029715,A375|10.0 um|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::ly294002
226,GSE70138,9a55b2df380a0926,tsc2_loss_hydrogel__q77x61__9a55b2df380a0926,tsc2_loss_hydrogel,compound::gsk-1059615,compound,GSK-1059615,0.27501494,0.9849932598176754,1.804071653689132,0.6560332871012483,721,28,1,True,False,100,trt_cp,-0.0,1.217330170978347,PC3|0.37 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::gsk1059615
122,GSE92742,9a55b2df380a0926,tsc2_loss_hydrogel__q77x61__9a55b2df380a0926,tsc2_loss_hydrogel,compound::gsk-2126458,compound,GSK-2126458,0.27273875,0.9846066624857852,1.4628721752551146,0.6041666666666666,48,6,1,True,False,100,trt_cp,0.0,1.1419352856723888,MCF10A|100 nM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::gsk2126458
126,GSE92742,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::buparlisib,compound,buparlisib,0.25828016,0.978245914097698,1.336723645307674,0.7708333333333334,48,6,1,True,False,150,trt_cp,0.7429816267751819,1.086012977632044,MDAMB231|500 nM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::buparlisib
85,GSE92742,3ed553c25262a7f3,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,tsc2_loss_plastic,compound::ql-x-138,compound,QL-X-138,0.2818374,0.9769908866047076,1.5433011913275527,0.696969696969697,66,19,1,True,False,100,trt_cp,0.0,1.2152165226704352,PC3|10 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::qlx138
132,GSE70138,3ed553c25262a7f3,tsc2_loss_plastic__q73x60__3ed553c25262a7f3,tsc2_loss_plastic,compound::lestaurtinib,compound,lestaurtinib,0.2719205,0.9753430583758492,1.654630292412249,0.625,40,7,1,True,False,100,trt_cp,0.0,1.281485261077025,HELA|1.11 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::lestaurtinib
128,GSE92742,5e6e39a3cacf5878,tsc2_loss_plastic__q110x94__5e6e39a3cacf5878,tsc2_loss_plastic,compound::buparlisib,compound,buparlisib,0.25749588,0.9740583208539666,1.3894529757604843,0.5833333333333334,48,6,1,True,False,150,trt_cp,0.0,1.1010379750900183,MCF7|10 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::buparlisib
75,GSE92742,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::torin-1,compound,torin-1,0.25421512,0.9730379959341886,1.503677013910912,0.6527777777777778,72,19,1,True,False,150,trt_cp,0.0,1.089088115096139,ASC|10 µM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::torin1
21,GSE92742,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::l-655240,compound,L-655240,0.259408,0.9719594982777642,1.252319363412986,0.631578947368421,19,13,1,True,False,150,trt_cp,0.0,1.1404803448721217,MCF7|10 µM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::l655240
71,GSE92742,5e6e39a3cacf5878,tsc2_loss_plastic__q110x94__5e6e39a3cacf5878,tsc2_loss_plastic,compound::zstk-474,compound,ZSTK-474,0.24860975,0.9671328032632004,1.643303633500576,0.6265060240963856,83,19,1,True,False,150,trt_cp,0.0,1.219039594684946,VCAP|10 µM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::zstk474
50,GSE92742,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::pi-103,compound,PI-103,0.25540942,0.9632958173215742,1.693722987935237,0.672566371681416,113,59,1,True,False,150,trt_cp,-0.0,1.1835741572520253,HA1E|10 µM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::pi103
40,GSE92742,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::nvp-bez235,compound,NVP-BEZ235,0.25078928,0.9606906377104464,1.4518449154080038,0.6039603960396039,101,54,1,True,False,150,trt_cp,-0.0,1.1415209153242207,HA1E|500 nM|6 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::nvpbez235
123,GSE92742,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::gsk-2126458,compound,GSK-2126458,0.25550717,0.9583308787627746,1.3774190780191462,0.6041666666666666,48,6,1,True,False,150,trt_cp,0.0,1.1660148435888158,HS578T|100 nM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::gsk2126458
192,GSE70138,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::nemonapride,compound,nemonapride,0.25246787,0.9564862341123754,1.4710545391421297,0.6904761904761905,42,7,1,True,False,150,trt_cp,0.0,1.1206441070621511,MCF7|0.37 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::nemonapride
138,GSE70138,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::nvp-bez235,compound,NVP-BEZ235,0.25048846,0.9559333927296064,1.72303010078221,0.654320987654321,162,16,1,True,False,150,trt_cp,0.0,1.1701570233037786,HA1E|0.37 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::nvpbez235
157,GSE70138,5e6e39a3cacf5878,tsc2_loss_plastic__q110x94__5e6e39a3cacf5878,tsc2_loss_plastic,compound::pi-103,compound,PI-103,0.25377077,0.954109403078276,1.738078783354874,0.6277777777777778,180,17,1,True,False,150,trt_cp,0.0,1.1810419698350263,PC3|0.04 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::pi103
90,GSE92742,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::wye-125132,compound,WYE-125132,0.2546134,0.9532374076313662,1.470237596739273,0.6515151515151515,66,19,1,True,False,150,trt_cp,0.0,1.1404510762581614,ASC|10 µM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::wye125132
63,GSE92742,189b4f1adb06b9d0,tsc2_loss_hydrogel__q114x91__189b4f1adb06b9d0,tsc2_loss_hydrogel,compound::bix-01338,compound,BIX-01338,0.24893728,0.9485937022332612,1.449600651516048,0.5882352941176471,17,13,1,True,False,150,trt_cp,-0.0,1.0974907573468078,SKB|10 µM|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::bix01338
234,GSE70138,9a55b2df380a0926,tsc2_loss_hydrogel__q77x61__9a55b2df380a0926,tsc2_loss_hydrogel,compound::osi-027,compound,OSI-027,0.2675436,0.9483384789434852,1.7122613216461384,0.5882352941176471,153,16,1,True,False,100,trt_cp,-0.0,1.1939169137810646,PC3|1.11 um|24 h,replicated_concordant,True,exploratory_reversal,False,reversal_direction,compound::osi027
