row_type,branch_id,source_state,distance_segment,n_cells,LAMCORE_full_median,LAMCORE_full_q25,LAMCORE_full_q75,LAMCORE_no_gate_median,LAMCORE_no_gate_q25,LAMCORE_no_gate_q75,LAMCORE_outside_scVI_median,LAMCORE_outside_scVI_q25,LAMCORE_outside_scVI_q75,LAMCORE_independent_median,LAMCORE_independent_q25,LAMCORE_independent_q75,CORE1_median,CORE1_q25,CORE1_q75,CORE2_median,CORE2_q25,CORE2_q75,CORE3_median,CORE3_q25,CORE3_q75,melanocytic_median,melanocytic_q25,melanocytic_q75,myogenic_median,myogenic_q25,myogenic_q75,VEGFD_median,VEGFD_q25,VEGFD_q75,CTSK_median,CTSK_q25,CTSK_q75,lam_support_median,lam_support_q25,lam_support_q75,HOX_PBX_median,HOX_PBX_q25,HOX_PBX_q75,hormone_median,hormone_q25,hormone_q75,ECM_median,ECM_q25,ECM_q75,protease_median,protease_q25,protease_q75,mTOR_translation_median,mTOR_translation_q25,mTOR_translation_q75,T_NK_median,T_NK_q25,T_NK_q75,macrophage_median,macrophage_q25,macrophage_q75,AT2_median,AT2_q25,AT2_q75,endothelial_median,endothelial_q25,endothelial_q75,lymphatic_endothelial_median,lymphatic_endothelial_q25,lymphatic_endothelial_q75,fibroblast_median,fibroblast_q25,fibroblast_q75,pericyte_VSMC_median,pericyte_VSMC_q25,pericyte_VSMC_q75,mesothelial_median,mesothelial_q25,mesothelial_q75,ciliated_median,ciliated_q25,ciliated_q75,distance_metric,score_name,n_patients,patient_adjusted_slope,ci95_low,ci95_high,pvalue,spearman_rho,spearman_pvalue
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,T_NK,10.0,0.056350661520307974,0.007870537064838444,0.1048307859757775,0.022836209763246823,0.25362971392559064,3.2457746899314395e-07
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,macrophage,10.0,0.0014012206013480563,-0.042581921081398855,0.04538436228409497,0.9500871931216528,-0.053776137735451444,0.2863494827531338
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,AT2,10.0,-0.04313018606146794,-0.11509372717415221,0.028833355051216328,0.23937213330947935,-0.01712114262552861,0.7344421566928206
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,endothelial,10.0,2.4048072511656873e-05,-0.015702473327806235,0.015750569472829545,0.9976026947680898,0.07411772858660762,0.1414492786173671
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,lymphatic_endothelial,10.0,-0.014404492451518796,-0.03168926404011231,0.0028802791370747226,0.10213102407116469,-0.04033261550437505,0.4240702201874361
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,fibroblast,10.0,-0.08451632095740243,-0.1357596965119363,-0.03327294540286853,0.001287085578255746,-0.21570923793278796,1.5283192651789272e-05
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,pericyte_VSMC,10.0,-0.24837864785577501,-0.3297133212571911,-0.16704397445435892,4.457287423621853e-09,-0.3527144064901527,5.152004356764557e-13
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,mesothelial,10.0,-0.00868528889276644,-0.022452822228675874,0.005082244443142996,0.21560018871004075,0.007722975102966207,0.8783928054346557
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latent_distance,ciliated,10.0,-0.00037343293321907313,-0.016277379787861014,0.015530513921422866,0.9632015576649321,-0.0695471915334738,0.1677365140370289
model,state16,State_16,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,graph_hop,LAMCORE_full,10.0,-0.05817926187620519,-0.08215970430805189,-0.03419881944435848,2.61950142431779e-06,-0.31687797968274706,1.1583448585542575e-10
