row_type,branch_id,source_state,distance_metric,score_name,n_cells,n_patients,patient_adjusted_slope,ci95_low,ci95_high,pvalue,spearman_rho,spearman_pvalue
model,branch_02,State_12,graph_hop,ECM,605,9,0.029753708845322344,0.01493332460040655,0.04457409309023814,9.008796240477398e-05,0.11891784619938855,0.0033967836153941874
model,branch_02,State_12,graph_hop,protease,605,9,0.03367119387232714,0.02140674585397019,0.045935641890684095,1.0067143380933762e-07,0.1638293819727026,5.149788259287526e-05
model,branch_02,State_12,graph_hop,mTOR_translation,605,9,0.03699389102390904,0.02017440504781499,0.05381337700000309,1.8309936966990123e-05,0.13768857871757442,0.0006840976857409434
model,branch_02,State_12,graph_hop,T_NK,605,9,0.0030286288920442113,-0.0010149336027497936,0.007072191386838216,0.14181825674694176,0.05896963577378116,0.14741509721008955
model,branch_02,State_12,graph_hop,macrophage,605,9,0.07871583642362007,0.05165096904153429,0.10578070380570584,1.76499350909646e-08,0.24011175867221546,2.2112436592355417e-09
model,branch_02,State_12,graph_hop,AT2,605,9,0.14160976690171723,0.09251861548634205,0.1907009183170924,2.287627949230238e-08,0.14492578878966364,0.00034858733160138305
model,branch_02,State_12,graph_hop,endothelial,605,9,0.010597886288160385,-0.01070811632037589,0.03190388889669666,0.3290161362236587,0.09368244685281613,0.021189643627905323
model,branch_02,State_12,graph_hop,lymphatic_endothelial,605,9,0.007264591404702037,-0.015347821413718765,0.02987700422312284,0.5283138335134752,-0.048219066525743856,0.2363068551403202
model,branch_02,State_12,graph_hop,fibroblast,605,9,0.017435181485255413,-0.0011655435080937318,0.03603590647860456,0.06613465398193481,-0.006283591500901429,0.8774222360040113
model,branch_02,State_12,graph_hop,pericyte_VSMC,605,9,-0.0037048967172704853,-0.01702605492706666,0.009616261492525688,0.5851203885974935,-0.10624418624738616,0.008915886826716126
model,branch_02,State_12,graph_hop,mesothelial,605,9,-0.012832003580645623,-0.017936998007807053,-0.007727009153484194,1.0335670195617013e-06,-0.1363458944598508,0.0007725556845545366
model,branch_02,State_12,graph_hop,ciliated,605,9,-0.0013351069502300049,-0.006679857597494859,0.004009643697034849,0.6238954701501569,-0.06369726993094364,0.11756059931752852
model,branch_03,State_20,latent_distance,LAMCORE_full,756,10,0.007060664417245061,0.0008410214394258169,0.013280307395064306,0.02613739629608163,0.1663112745251197,4.280198157449392e-06
model,branch_03,State_20,latent_distance,LAMCORE_no_gate,756,10,0.007108266872321729,0.0008301984755144523,0.013386335269129006,0.02653162860224318,0.1664481656958058,4.202079010806147e-06
model,branch_03,State_20,latent_distance,LAMCORE_outside_scVI,756,10,0.011152085677732317,0.006514103968291079,0.015790067387173555,2.8116091969831048e-06,0.35564284485347936,5.857838801052917e-24
model,branch_03,State_20,latent_distance,LAMCORE_independent,756,10,0.010979480943713732,0.006336561299552062,0.015622400587875403,4.0690733083575655e-06,0.3529062712069877,1.3616330392544101e-23
model,branch_03,State_20,latent_distance,CORE1,756,10,-0.047787499210640225,-0.08479809516538504,-0.010776903255895406,0.011454952269782772,-0.24450974035329529,9.393972621336507e-12
model,branch_03,State_20,latent_distance,CORE2,756,10,-0.026774614370797534,-0.04535020983372283,-0.008199018907872242,0.004785066034076965,-0.2200885233963814,9.560878206002372e-10
model,branch_03,State_20,latent_distance,CORE3,756,10,0.002150915259973969,-0.016159747262853387,0.020461577782801325,0.817683036041953,-0.01379468102804772,0.7049244479458066
model,branch_03,State_20,latent_distance,melanocytic,756,10,-0.004499938100798528,-0.029825913673200633,0.020826037471603578,0.7273271040447656,0.14396554266010259,7.110430531473804e-05
model,branch_03,State_20,latent_distance,myogenic,756,10,-0.0426723640076066,-0.0848554531546003,-0.0004892748606128983,0.04740790968446116,-0.13363327507533873,0.0002289123431946699
model,branch_03,State_20,latent_distance,VEGFD,756,10,0.15032271588187243,0.08061750170203692,0.22002793006170795,2.586801395309752e-05,0.15518231274039804,1.8213505376320853e-05
