dataset,cohort,score,n_cells,n_nonnull,mean,median,q05,q25,q75,q95,LAM_core_fraction,LAM_boundary_fraction,non_LAM_like_fraction
GSE135851,author_style_positive,lamcore_identity_score,140,140,10.620127437795912,10.217071056365967,4.812951946258545,7.735060095787048,13.45727801322937,16.833322715759273,,,
GSE135851,author_style_positive,identity_anchor_score,140,140,7.3765183414731705,6.921840190887451,2.412551748752594,4.25455904006958,10.654515743255615,13.58613429069519,,,
GSE135851,author_style_positive,support_score,140,140,9.063499457495553,9.557165145874023,3.6582584977149963,6.808439493179321,11.152047634124756,13.162767934799193,,,
GSE135851,author_style_positive,LAM_identity_score,140,140,5.832025717119021,5.604130029678345,0.19262320622801782,3.972116768360138,8.218992233276367,10.220057249069214,,,
GSE135851,author_style_positive,non_pericyte_competing_score,140,140,4.2130061287699005,2.6871044635772705,0.11935515962541104,1.2947612404823303,6.955614447593689,11.969705200195307,,,
GSE135851,author_style_positive,pericyte_VSMC_conditional_penalty,140,140,0.17158920055134408,0.014504964647010588,2.0229196757521804e-05,0.000417147408429832,0.26359736717597904,0.6813500879888362,,,
GSE135851,author_style_positive,ciliated_score_z,140,140,0.8645968309470585,0.0,0.0,0.0,0.0,5.0661235570907595,,,
GSE135851,author_style_positive,AT2_score_z,140,140,0.3372827760035372,0.24163032323122025,-0.3230660542845726,-0.029821581207215786,0.6371668428182602,1.2204386532306626,,,
GSE135851,author_style_positive,macrophage_score_z,140,140,-0.22059689110194866,-0.23041489720344543,-0.44865034222602845,-0.35020866990089417,-0.14572911709547043,0.20165015831589608,,,
GSE135851,author_style_positive,endothelial_score_z,140,140,0.28739550496850697,0.0,0.0,0.0,0.0,1.4193273007869676,,,
GSE135851,author_style_positive,fibroblast_score_z,140,140,3.555887947125094,2.137907862663269,-0.23221558332443237,0.874073714017868,6.46308970451355,11.969705200195307,,,
GSE135851,author_style_positive,mesothelial_score_z,140,140,0.4176889479160309,0.0,0.0,0.0,0.0,3.610942447185515,,,
GSE135851,author_style_positive,pericyte_VSMC_score_z,140,140,17.534327043805803,18.988390922546387,5.260202813148498,11.651126623153687,23.17265224456787,27.653940200805664,,,
GSE190260,independent_CORE3_positive,melanocytic_identity_score,2117,2117,0.00012691954769331382,0.0,0.0,0.0,0.0,0.0,,,
GSE190260,independent_CORE3_positive,lamcore_identity_score,2117,2117,0.05187946572428218,0.0,0.0,0.0,0.0,0.0,,,
GSE190260,independent_CORE3_positive,identity_anchor_score,2117,2117,0.026394633117871404,0.0,0.0,0.0,0.0,0.0,,,
GSE190260,independent_CORE3_positive,support_score,2117,2117,0.0002530853619933635,0.0,0.0,0.0,0.0,0.0,,,
GSE190260,independent_CORE3_positive,LAM_identity_score,2117,2117,-0.8982712118059901,-1.0065773725509644,-2.1533563137054443,-1.128495216369629,-0.314479261636734,-0.046940276771783834,,,
GSE190260,independent_CORE3_positive,non_pericyte_competing_score,2117,2117,4.264726207335556,4.846240520477295,0.25102469325065613,1.4261854887008667,5.436379432678223,9.980291557312007,,,
GSE190260,independent_CORE3_positive,pericyte_VSMC_conditional_penalty,2117,2117,0.6122602093272104,0.38490283489227295,0.0,0.0,0.7388385534286499,2.5296008586883527,,,
GSE190260,independent_CORE3_positive,ciliated_score_z,2117,2117,0.12119348854509288,0.0,0.0,0.0,0.1447167992591858,0.3513237237930294,,,
GSE190260,independent_CORE3_positive,AT2_score_z,2117,2117,2.625112157727013,3.0524749755859375,-0.24089385569095612,0.035001445561647415,5.107681751251221,5.598139858245848,,,
GSE190260,independent_CORE3_positive,macrophage_score_z,2117,2117,0.004328894589179234,-0.11724034696817398,-0.17446820437908173,-0.17446820437908173,-0.029268618673086166,0.7666139602661122,,,
GSE190260,independent_CORE3_positive,endothelial_score_z,2117,2117,1.1128486364017018,0.0,0.0,0.0,0.621890664100647,8.97083816528319,,,
GSE190260,independent_CORE3_positive,fibroblast_score_z,2117,2117,0.44800629822231997,0.0,0.0,0.0,0.4056335389614105,1.9268807411193787,,,
GSE190260,independent_CORE3_positive,mesothelial_score_z,2117,2117,0.8577891553791278,0.26408764719963074,0.0,0.0,0.9866630434989929,4.318839359283423,,,
GSE190260,independent_CORE3_positive,pericyte_VSMC_score_z,2117,2117,1.2591822710192648,0.7719796895980835,0.0,0.0,1.4805114269256592,5.267673492431641,,,
GSE122960,normal_reference,melanocytic_identity_score,32977,32977,0.0511468306958651,0.0,0.0,0.0,0.0,0.3669167459011078,,,
GSE122960,normal_reference,lamcore_identity_score,32977,32977,0.4618218182626378,0.0,0.0,0.0,0.662356972694397,2.0365626335144036,,,
