"gene_symbol","GSM2795553","GSM2795554","GSM2795555","GSM2795556","GSM2795557","GSM2795558","GSM2795559","GSM2795560","GSM2795561"
"MIR200B",5.26047468185425,5.31360149383545,5.28902435302734,5.22186517715454,5.253586769104,5.25045490264893,5.24917984008789,5.253586769104,5.17851114273071
"MIR200C",4.18961191177368,4.1172924041748,4.13850355148315,4.13231086730957,4.09467029571533,4.12304019927979,4.26150035858154,4.06085348129272,3.94904375076294
"MIR202",5.48277807235718,5.55037450790405,5.55037450790405,5.55037450790405,5.55037450790405,5.60543775558472,5.55037450790405,5.55037450790405,5.39774608612061
"MIR203A",3.99538707733154,3.85454988479614,3.97320461273193,4.03967523574829,4.01099920272827,4.04357814788818,4.09809350967407,4.01775360107422,3.99538707733154
"MIR203B",4.01131153106689,3.94025564193726,3.91073894500732,3.98410844802856,3.9387993812561,3.9697208404541,3.94025564193726,3.93947219848633,3.9070987701416
"MIR204",4.77230215072632,4.84312200546265,4.8313889503479,4.80113410949707,4.83532667160034,4.80113410949707,4.80113410949707,4.80113410949707,4.50340557098389
"MIR205",5.78675317764282,5.80240631103516,5.8055362701416,5.8055362701416,5.86332035064697,5.81186723709106,5.8055362701416,5.80542325973511,5.70977163314819
"MIR2052",4.38642978668213,4.28547620773315,4.50630950927734,4.5626974105835,4.52672100067139,4.46677303314209,4.50630950927734,4.64980888366699,4.56434106826782
"MIR2052HG",6.46818828582764,6.46818828582764,6.45099878311157,6.46818828582764,6.46818828582764,6.46818828582764,6.46818828582764,6.46818828582764,6.53621578216553
"MIR2053",4.77237701416016,4.7699990272522,4.7810001373291,4.78377389907837,4.80022096633911,4.75718212127686,5.01124668121338,4.83415699005127,4.49777460098267
"MIR2054",4.78141164779663,6.26568984985352,6.56969451904297,6.6297664642334,8.15672588348389,6.62674140930176,7.52826976776123,7.05171203613281,6.6297664642334
"MIR205HG",5.66449499130249,5.67951536178589,5.67951536178589,5.67951536178589,5.73368072509766,5.67951536178589,5.67951536178589,5.67774391174316,5.60979175567627
"MIR206",3.92002034187317,3.83050394058228,3.78783202171326,3.79268598556519,3.91694116592407,3.94016718864441,4.19647693634033,3.73241686820984,3.80708789825439
"MIR208A",3.3515043258667,3.24883127212524,3.23038005828857,3.25490498542786,3.25490498542786,3.23815870285034,3.25818467140198,3.30037426948547,3.31088066101074
