gene,gse104335_logFC_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_logFC_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_logFC_shSRPK2_vehicle_minus_shGFP_vehicle,gse104335_P.Value_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_P.Value_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_P.Value_shSRPK2_vehicle_minus_shGFP_vehicle,gse104335_adj.P.Val_shGFP_rapamycin_minus_shGFP_vehicle,gse104335_adj.P.Val_shSRPK2_vehicle_minus_shGFP_rapamycin,gse104335_adj.P.Val_shSRPK2_vehicle_minus_shGFP_vehicle,tsc2_loss_hydrogel,tsc2_loss_hydrogel_moderated_q,residual_hydrogel,residual_hydrogel_moderated_q,hydrogel_specific_residual,hydrogel_specific_residual_moderated_q,escape_hydrogel,escape_hydrogel_moderated_q,environment_dependent_escape,environment_dependent_escape_moderated_q
RN7SL354P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL356P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL357P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL359P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL35P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL361P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL362P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL363P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL364P,,,,,,,,,,-0.0169359713194,1.0,-0.0067654829172159,1.0,-0.0067654829172159,1.0,0.010170488402184,1.0,0.010170488402184,1.0
RN7SL366P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL368P,,,,,,,,,,-0.0799801929232664,0.4080853339319418,0.0142664240006237,1.0,-0.02200852168329,1.0,0.0942466169238901,0.8453603935913047,0.1858514515825109,1.0
RN7SL369P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL36P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL370P,,,,,,,,,,-0.0623113107165648,0.9031431276601496,-0.0414951880071896,1.0,-0.0414951880071896,1.0,0.0208161227093752,1.0,0.0621751653442306,1.0
RN7SL371P,,,,,,,,,,0.1207196544051388,0.1209342449348605,0.0,1.0,0.0,1.0,-0.1207196544051388,0.598836479231665,-0.1207196544051388,1.0
RN7SL372P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL375P,,,,,,,,,,-0.0457953868700744,1.0,0.0467217746862026,1.0,0.0467217746862026,1.0,0.092517161556277,1.0,0.060445405787204,1.0
RN7SL376P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL377P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL378P,,,,,,,,,,-0.0959045724855302,0.4412092690437988,0.0064308934728871,1.0,0.0602057078047563,1.0,0.1023354659584174,0.9599895836856764,0.1561102802902865,1.0
RN7SL379P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL37P,,,,,,,,,,-0.1711490406213589,0.2039234999002271,0.062720816757664,1.0,0.0295853641563315,1.0,0.2338698573790229,0.4160928790144724,0.1423726510047436,1.0
RN7SL380P,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RN7SL381P,,,,,,,,,,0.0910835564706652,0.3873124505161276,-0.011373879324855,1.0,-0.0297393513312671,1.0,-0.1024574357955203,0.863588988057289,-0.137772074766632,1.0
