gene,mean,median,max,count
NKRF,0.7334036098000001,0.110364413,3.237180636,5
RMND5A,1.03235072925,0.44717937799999996,3.235044161,4
ISL1,1.1351586166666665,0.149716,3.23018,3
TAF15,0.76852486575,0.5369020835,3.229512356,16
U2SURP,1.0767135097058824,1.193215494,3.229154157,17
ANKRD46,0.459501386,0.204428,3.229096388,11
MCM3AP,0.9340894227,0.7829628614999999,3.228463647,10
LUC7L,0.5698782238571428,0.249279902,3.226608063,21
HNRNPA1,1.6065916758571428,1.342993336,3.226561645,14
NPDC1,1.0113050205,0.6226688555,3.221537621,6
C2orf44,1.6367322266666668,1.690235341,3.219961339,3
POM121C,1.014044722125,0.7613432635,3.216604713,8
AEN,0.7987083108333333,0.386065358,3.215662874,6
GPD1L,0.6169832984285714,0.143323051,3.213473476,7
ZDHHC7,0.715205876,0.3953153145,3.213194251,8
ARID3A,0.6397734358571429,0.2786825,3.212595334,7
PIGF,0.8889107354285715,0.659206612,3.21024318,7
PSMB3,0.855652346142857,0.294099201,3.204916525,7
NBPF15,0.913945505625,0.6443764224999999,3.2033487,8
RALGDS,0.8041264198033067,0.501187089,3.203326362,15
KRT18,0.8266210142857143,0.235917709,3.19986263,7
PHPT1,1.485044973,1.1882283509999998,3.198991705,6
MZT1,3.197760006,3.197760006,3.197760006,1
NUDT19,3.194504401,3.194504401,3.194504401,1
DBN1,0.6747170044545455,0.290958865,3.191199283,11
SYK,1.37112082,1.563605,3.18753,5
UBA52,1.01701768,0.648516345,3.184005,14
XRCC5,0.7952176086,0.4814876285,3.183835,10
SRSF7,1.3462910539166666,1.3817920675,3.177049688,12
GYS1,0.9806666282857143,0.614753866,3.176590701,7
EDC4,1.1862120695,1.1863169775,3.173567972,14
PDE9A,0.2546071964142857,0.0,3.171195,28
GEMIN2,0.8263999999166667,0.4830263125,3.166864329,12
SNAPC4,3.159814824,3.159814824,3.159814824,1
KRTCAP2,0.9421127296,0.630286786,3.15968,10
CTH,0.9811268258,0.422729486,3.159190246,5
PTOV1,0.8519578693809523,0.510188727,3.156172873,21
SMAD9,1.03583143825,0.42462524999999995,3.155868845,4
URB2,1.8708503225,1.8708503225,3.154693485,2
METTL21A,0.766408152923077,0.511694122,3.15461,13
ANP32E,1.1004233034,1.0262435685,3.152327778,10
CSPG5,0.6546114956,0.0,3.151599978,5
PRKAR2A,0.7830652031428571,0.408895409,3.149346627,7
EXOSC5,0.9054505687999999,0.603154705,3.147894525,5
PPA1,0.7761777451666667,0.35833907249999997,3.146325176,6
MTF2,1.0187783044285714,0.541863427,3.14113,14
ATF7IP2,0.37987212494444444,0.0995055,3.140960795,18
CERCAM,0.6431349185714286,0.29865758,3.138728698,14
ARHGAP19,0.6331511797142858,0.077971853,3.138230354,7
TRIB2,1.7651239585,1.962544214,3.135407406,4
AUNIP,1.5547197419999998,1.530215436,3.13394379,3
