gene_symbol,tpm.103cell_siCtrl,tpm.103cell_siSTAT3,tpm.103cell_Rap,tpm.102cell_siCtrl,tpm.102cell_siSTAT3,tpm.102cell_Rap
RAX,0.0,0.0,0.0,0.0126374,0.0,0.0122655
NARS,201.50227999999998,226.43229603999998,163.20895000000002,139.212449,143.7848909,78.7076313
GRP,0.0,0.131267,0.0797367,0.177308,0.0,0.105231
KIAA1468,32.510621,38.151151,32.014259,28.250107,25.053581,17.042782
IL2RA,0.0344762,0.0371616,0.0355014,0.0581794,0.0342799,0.0149408
CCNH,85.876374,92.055139,72.22910999999999,69.012605,71.416527,57.938295000000004
HRH4,0.0781821,0.151871,0.153518,0.1924606,0.149358,0.078498
CABLES1,24.396076,24.778706,26.145138000000003,32.429795999999996,34.285596,22.8030873
DOCK2,0.3733579,0.47856610000000005,0.307988,0.2231169,0.1522597,0.1027025
EMP1,342.45671500000003,335.593747,370.68688099999997,16.6187814,14.17735,5.5452066
RERG,0.7816154,0.4507089,0.715279,2.067227,2.3154198999999998,1.140272
SLCO1B1,0.0,0.0,0.0,0.0,0.0,0.0164964
SPX,1.476941,1.615561,0.83231,3.095868,3.460114,2.1603486776
MYBPC3,0.0262463,0.0,0.0410029,0.0,0.0132113,0.008367761
DDB2,38.274325,39.386495000000004,53.582756,34.337066300000004,36.038721,46.262594625982004
ACP2,23.8409920110889,22.738482299999998,29.066954,20.320009,21.257506,20.2815029
FOLH1,0.28883,0.15593,0.0,0.196915,0.576782,0.18878
FAM127A,83.2877,82.0164,113.03799999999998,69.5819,67.98169999999999,77.0824
RAB33A,0.575169,0.465702,0.394773,0.972945,1.08258,0.408034
RBMX2P2,0.0,0.0,0.0,0.0,0.0,0.0
MTNR1B,0.0,0.0,0.0,0.0,0.0,0.0
PUM1,46.384303599999996,45.27917100031705,43.30763505,74.761782,71.514927,48.507097
SPOCD1,87.09819,67.02836,62.824870000000004,8.790225,8.581991,3.0908746
PHC2,160.38673500000002,137.761959,190.492802,85.17823899999999,84.3707308,87.153548
ZCCHC11,47.741758110139,47.774456,42.94916970616597,66.377314,57.144599,50.258244
PRPF38A,33.82248,36.9503,33.0204,104.4359,108.5431,89.44343
DSG3,0.00965704,0.0104161,0.00995637,0.019524,0.0192251,0.012713
RNF138,22.633991,25.579358,27.97166,156.997266,151.16325199999997,108.401362
DSG1,0.0,0.0,0.0,0.02079665,0.0408752,0.0069433
DSC1,0.0,0.0,0.0,0.03472320388084,0.0336228,0.0331308
FHOD3,29.066276000000002,27.3958913,36.843901,6.414490300000001,6.33882980679908,6.1800348
DAGLA,2.34739,1.71595,2.12348,1.3591,1.12871,1.19919
TIMM10,74.92743,76.87956,56.74612,50.41217,52.3676,41.39284
AHNAK,115.213646,118.31797,107.99084900000001,15.120098,13.213676,6.3287553
GIF,0.0,0.0990113,0.094331,0.0,0.0,0.0424855
APLNR,0.0,0.0,0.0,0.0,0.0,0.0
