gene,102cell_siSTAT3_minus_siCtrl,102cell_rapamycin_minus_siCtrl,102cell_siSTAT3_minus_rapamycin,103cell_siSTAT3_minus_siCtrl,103cell_rapamycin_minus_siCtrl,103cell_siSTAT3_minus_rapamycin
GABARAPL2,0.13235298247559069,0.45528525483066407,-0.3229322723550734,0.05363813215354618,0.21821051011515102,-0.16457237796160484
MYOC,-0.026023946216689374,-0.026023946216689374,0.0,0.042876297497858776,0.10964367141695007,-0.0667673739190913
FAM136A,0.017512036301265965,-0.09192873590247519,0.10944077220374115,0.10302911952339322,-0.21310731923627912,0.31613643875967234
NSMAF,-0.16036567629359144,-0.9966835096885243,0.8363178333949328,0.17096331437445667,-0.020948018228163612,0.19191133260262028
OTC,0.0,0.0343146154556042,-0.0343146154556042,0.0,0.05358849410996602,-0.05358849410996602
TTC17,-0.11018882296089672,-0.3962433186618517,0.286054495700955,0.09860506652232015,0.11975452551828347,-0.02114945899596332
HOXC8,-0.016881954004552835,-0.020374452432065482,0.003492498427512647,-0.27254104701671134,-0.40781429848815165,0.13527325147144031
MRI1,-0.06522107591371551,-0.14727397305579615,0.08205289714208064,-0.043329784563483464,-0.033708775731250196,-0.009621008832233269
BOD1L1,-0.8560197042542166,-1.2552138104048223,0.3991941061506057,0.26834894713541146,0.3090508175811175,-0.040701870445706057
TARBP1,-0.16273374559116238,-0.11808812295898274,-0.04464562263217964,0.36215069444001946,0.13231601725837905,0.2298346771816404
FAM65A,-0.5106819423647853,-0.7079606415872033,0.19727869922241803,-0.2443750946836163,-0.19350407522366275,-0.05087101945995354
BEST2,-0.19579979825347543,-0.08874517562146472,-0.10705462263201071,-0.19212605347953093,-0.48348399340668724,0.2913579399271563
RTN4R,-0.20260723560259997,0.49336059502415563,-0.6959678306267556,-0.4136522766537877,0.24092868913791476,-0.6545809657917024
PSMA4,0.08598345604598379,0.011642801310522088,0.0743406547354617,0.07833439677624021,-0.06346938704429483,0.14180378382053505
FAM65C,0.003043068557621459,-0.03888998416249753,0.04193305272011899,-0.30016965573275545,-0.048834242277701556,-0.2513354134550539
SPATA7,-0.16509466905592118,0.3560197655574804,-0.5211144346134016,0.46184980816452637,0.33411385519776404,0.12773595296676232
ZPBP,0.0,0.0,0.0,0.0,0.0,0.0
CTNS,-0.14884661708142133,-0.04104557786332652,-0.10780103921809481,-0.08739032180268236,-0.3755117315711498,0.28812140976846745
LCP2,0.05698064617326628,-0.011112558174005143,0.06809320434727142,0.05558439359764274,0.0,0.05558439359764274
GOPC,-0.0328892786559285,-0.5815890083673505,0.548699729711422,0.04176872360142969,-0.2112353858480427,0.2530041094494724
DCN,0.13456067748930067,-0.18176519182871065,0.3163258693180113,0.04173291213171071,0.7495054064494182,-0.7077724943177075
TNFRSF17,0.0,0.0,0.0,0.1854783922804867,0.21597629938474436,-0.03049790710425765
