pool,candidate_program,known_program,evidence_scope,evidence_level,known_type,overlap_n,overlap_genes,jaccard_top_genes,score_correlation
broad_lam_like,program_2,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,1,MYH11,0.017543859649122806,-0.08043848980162212
broad_lam_like,program_3,lineage_uterine_smooth_muscle,lineage/reference,reference,gene_set,2,"MYH11,TAGLN",0.03571428571428571,-0.47931436654345067
broad_lam_like,program_1,normal_lung_interstitial,lineage/reference,reference,gene_set,2,"COL1A1,COL3A1",0.03571428571428571,0.32800214900343344
broad_lam_like,program_2,normal_lung_interstitial,lineage/reference,reference,gene_set,0,,0.0,-0.29043292324838316
broad_lam_like,program_3,normal_lung_interstitial,lineage/reference,reference,gene_set,0,,0.0,0.11557950605083474
unrestricted_lam,program_1,CORE1,LAMCORE-specific,established,gene_set,2,"DES,MYH11",0.03571428571428571,-0.08382693686436161
unrestricted_lam,program_2,CORE1,LAMCORE-specific,established,gene_set,3,"DES,MYH11,RGS5",0.05454545454545454,-0.1470576722628502
unrestricted_lam,program_3,CORE1,LAMCORE-specific,established,gene_set,3,"DES,MYH11,RGS5",0.05454545454545454,0.23180298486598858
unrestricted_lam,program_1,CORE2,LAMCORE-specific,established,gene_set,2,"FIGF,GPNMB",0.03571428571428571,-0.3456110794572912
unrestricted_lam,program_2,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,0.5865358204151025
unrestricted_lam,program_3,CORE2,LAMCORE-specific,established,gene_set,0,,0.0,-0.3260934360297368
unrestricted_lam,program_1,CORE3_identity,LAMCORE-specific,established,structured_model_component,1,FIGF,0.017857142857142856,-0.14397033606656737
unrestricted_lam,program_2,CORE3_identity,LAMCORE-specific,established,structured_model_component,1,ESR1,0.017857142857142856,0.06025747321025711
unrestricted_lam,program_3,CORE3_identity,LAMCORE-specific,established,structured_model_component,0,,0.0,0.05178365274573643
unrestricted_lam,program_1,LAM_myogenic_contractile,LAM-shared,supported,gene_set,2,"DES,MYH11",0.03571428571428571,-0.03420278600856987
unrestricted_lam,program_2,LAM_myogenic_contractile,LAM-shared,supported,gene_set,2,"DES,MYH11",0.03571428571428571,-0.18348706254205643
unrestricted_lam,program_3,LAM_myogenic_contractile,LAM-shared,supported,gene_set,2,"DES,MYH11",0.03571428571428571,0.2293272815874611
unrestricted_lam,program_1,ECM_remodeling,LAM-shared,supported,gene_set,1,COL1A2,0.016666666666666666,-0.3481121063951308
unrestricted_lam,program_2,ECM_remodeling,LAM-shared,supported,gene_set,3,"COL1A2,MMP9,TIMP1",0.05172413793103448,0.29300229107816234
unrestricted_lam,program_3,ECM_remodeling,LAM-shared,supported,gene_set,0,,0.0,0.02659623208330788
unrestricted_lam,program_1,mTOR_translation,TSC-tumor-shared,supported,gene_set,0,,0.0,0.1704771383537394
unrestricted_lam,program_2,mTOR_translation,TSC-tumor-shared,supported,gene_set,3,"AKT1,HIF1A,RPL5",0.05172413793103448,-0.0875546445490819
unrestricted_lam,program_3,mTOR_translation,TSC-tumor-shared,supported,gene_set,0,,0.0,0.2854200816290979
unrestricted_lam,program_1,SLS_stem_like,treatment-associated,supported,gene_set,1,HMGA2,0.01694915254237288,0.2264025882996042
unrestricted_lam,program_2,SLS_stem_like,treatment-associated,supported,gene_set,4,"DPPA4,HMGA2,MDK,NES",0.07142857142857142,-0.10212933863589437
unrestricted_lam,program_3,SLS_stem_like,treatment-associated,supported,gene_set,2,"HMGA2,NES",0.034482758620689655,-0.06532566695944857
unrestricted_lam,program_1,IS_inflammatory,treatment-associated,supported,gene_set,3,"CCL2,IL6,STAT1",0.05357142857142857,-0.042972078988103964
unrestricted_lam,program_2,IS_inflammatory,treatment-associated,supported,gene_set,3,"CCL2,STAT1,TNFAIP3",0.05357142857142857,0.22580121772732642
unrestricted_lam,program_3,IS_inflammatory,treatment-associated,supported,gene_set,2,"CCL2,STAT1",0.03508771929824561,-0.15312267035711818
unrestricted_lam,program_1,MDK_dormancy_persistence,treatment-associated,supported,gene_set,0,,0.0,-0.11036771169251341
unrestricted_lam,program_2,MDK_dormancy_persistence,treatment-associated,supported,gene_set,2,"JUN,MDK",0.034482758620689655,0.46182538365508435
unrestricted_lam,program_3,MDK_dormancy_persistence,treatment-associated,supported,gene_set,2,"BCL2,JUN",0.034482758620689655,-0.24690756056321644
unrestricted_lam,program_1,HOX_PBX,LAM-shared,supported,gene_set,0,,0.0,0.09343243880176358
unrestricted_lam,program_2,HOX_PBX,LAM-shared,supported,gene_set,1,HOXA10,0.017543859649122806,-0.16749761597340904
unrestricted_lam,program_3,HOX_PBX,LAM-shared,supported,gene_set,1,HOXA10,0.017543859649122806,0.12391876449102193
unrestricted_lam,program_1,LAF_niche,microenvironment,supported,gene_set,2,"CCL2,COL1A2",0.034482758620689655,-0.3081492954131912
unrestricted_lam,program_2,LAF_niche,microenvironment,supported,gene_set,3,"CCL2,COL1A2,CXCL14",0.05263157894736842,0.4742719917443958
unrestricted_lam,program_3,LAF_niche,microenvironment,supported,gene_set,2,"CCL2,CXCL14",0.034482758620689655,-0.2042207034034973
unrestricted_lam,program_1,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,1,TREM2,0.01694915254237288,-0.6012674668494425
unrestricted_lam,program_2,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,4,"AIF1,C1QA,CTSS,TREM2",0.07142857142857142,0.9769503817458429
unrestricted_lam,program_3,macrophage_TREM2_TYROBP,microenvironment,supported,gene_set,4,"AIF1,C1QA,CTSS,TREM2",0.07142857142857142,-0.46311705330260666
unrestricted_lam,program_1,TGFbeta_fibroblast,microenvironment,supported,gene_set,0,,0.0,0.00884256227887931
unrestricted_lam,program_2,TGFbeta_fibroblast,microenvironment,supported,gene_set,1,TGFBR2,0.017241379310344827,0.05665846782658382
unrestricted_lam,program_3,TGFbeta_fibroblast,microenvironment,supported,gene_set,1,TGFBR2,0.017241379310344827,-0.013229093739079392
unrestricted_lam,program_1,IL6_AT2_repair,microenvironment,supported,gene_set,3,"IL6,SFTPA1,SFTPA2",0.05263157894736842,0.9637743010576215
unrestricted_lam,program_2,IL6_AT2_repair,microenvironment,supported,gene_set,3,"SFTPA1,SFTPA2,SFTPC",0.05263157894736842,-0.5688000725854319
unrestricted_lam,program_3,IL6_AT2_repair,microenvironment,supported,gene_set,3,"SFTPA1,SFTPA2,SFTPC",0.05263157894736842,-0.24831315009251406
unrestricted_lam,program_1,protease_ECM_niche,microenvironment,supported,gene_set,0,,0.0,-0.40481199597084144
unrestricted_lam,program_2,protease_ECM_niche,microenvironment,supported,gene_set,3,"CTSS,MMP9,TIMP1",0.05172413793103448,0.8362067707660371
unrestricted_lam,program_3,protease_ECM_niche,microenvironment,supported,gene_set,3,"CTSS,ELANE,TIMP2",0.05172413793103448,-0.47718627865424545
unrestricted_lam,program_1,hormone_related,LAM-shared,supported,gene_set,0,,0.0,0.25880925928673376
unrestricted_lam,program_2,hormone_related,LAM-shared,supported,gene_set,2,"EGFR,ESR1",0.03636363636363636,-0.23556083831698127
