names,scores,logfoldchanges,pvals,pvals_adj
PDLIM7,4.7371354,2.0420115,2.1676041360176843e-06,0.00023120021535879073
TIMP3,4.700486,2.2887642,2.5954307654203353e-06,0.0002722722320422911
EIF4A2,4.690524,1.0037572,2.725062234206795e-06,0.00028399965284383975
RPL13A,4.6848855,0.10407557,2.8011625519087543e-06,0.00029003191515104674
NR2F2,4.6774144,3.4274712,2.90515064253993e-06,0.0002978925563043722
FBLIM1,4.659728,4.421538,3.1662758797077565e-06,0.00032207499870950604
PDLIM4,4.6381226,3.3009715,3.5158813902474472e-06,0.00035480313674609616
PTGER3,4.637187,4.4095616,3.5318262812382244e-06,0.0003558482628329215
IGFBP4,4.6151586,2.045586,3.927957534903982e-06,0.00039327130809761144
ITGA8,4.595658,6.3519025,4.313858967719901e-06,0.0004272062169323486
C12orf57,4.5934834,1.2770306,4.35907503396467e-06,0.0004303454588182454
RERG,4.590336,6.242191,4.425338489700688e-06,0.0004348646280998004
CPE,4.570576,2.3136697,4.863853282125271e-06,0.00047357123156864045
ANTXR2,4.565589,3.367718,4.980943567021495e-06,0.00048202362236660757
FTH1,4.55495,0.61269575,5.23979231969616e-06,0.0005032795206556173
C6orf48,4.5387244,1.0573236,5.659555466736669e-06,0.0005386898556881776
COX7B,4.5033264,0.68343544,6.689796162841936e-06,0.0006273728280725862
ATP5J,4.482758,0.75733274,7.368449900531786e-06,0.000685966058941758
C9orf3,4.4824357,2.8594396,7.37959317163583e-06,0.0006860005173580361
PRDX2,4.457,1.3189087,8.311471522398879e-06,0.0007626074526394718
RPL34,4.407108,0.32962406,1.0476006579335788e-05,0.0009372664315037549
ARID5B,4.407026,1.8020473,1.0479980200553944e-05,0.0009372664315037549
HINT1,4.3921967,0.4212114,1.1221123119251908e-05,0.0009973923433100836
CYR61,4.3904643,3.3638458,1.1310878286151511e-05,0.0010003372175378747
ACTB,4.365111,0.5189361,1.2705832421956007e-05,0.0011061811996465496
RPS8,4.363777,0.32005945,1.2783584154782207e-05,0.0011105324532388358
FAM213A,4.3477407,1.9261369,1.3754713264549136e-05,0.001178814100332026
TUBA1A,4.346982,1.502775,1.3802348068466843e-05,0.0011802308414495968
SH3BGRL,4.3173046,0.770172,1.5794595569709633e-05,0.0013268502138422166
PFN2,4.3057246,2.956142,1.66439944569526e-05,0.0013890427719991751
QPRT,4.2805924,2.7889655,1.8639658797983816e-05,0.001549500722296626
SMOC2,4.271275,6.4319844,1.9435850613448868e-05,0.0016093844727081712
FABP3,4.2429,2.0907664,2.2064983817014204e-05,0.0017990166126965602
NECAB2,4.2210736,9.356408,2.431417427828388e-05,0.0019622987015440845
NPM1,4.2117877,0.4686506,2.533574928420426e-05,0.0020395758624150123
PPAP2A,4.19127,2.8608756,2.773976483736725e-05,0.0022246662538400936
CDKN1C,4.1802077,3.2654798,2.9124269168140428e-05,0.0023143416698711743
CCNG1,4.177123,2.0921652,2.9521908670147654e-05,0.0023355623630712326
ST3GAL4,4.170505,3.7562425,3.0392522621176766e-05,0.0023981470420677484
GNB2L1,4.16718,0.19859196,3.083906350762326e-05,0.002427365941872591
RPS23,4.147389,0.33904785,3.3628827831407676e-05,0.002627463643951591
SFRP4,4.142648,6.3890343,3.4331819617080965e-05,0.0026725516842993455
ANGPTL2,4.1292477,5.6563196,3.639521003640926e-05,0.002812545861029651
LAPTM4A,4.1186852,0.8036825,3.810401401850698e-05,0.0029229192462431864
COX7A1,4.1184387,2.9481454,3.814479158295912e-05,0.0029229192462431864
NME4,4.09488,1.9970993,4.223866347054192e-05,0.0031952081548642583
NACA,4.091644,0.014992577,4.2832605186101495e-05,0.0032354113884168266
C11orf96,4.088932,1.8079389,4.333635541199267e-05,0.0032695842459353757
NR2F1,4.0745897,4.158295,4.609553696057252e-05,0.0034290017605588512
EMILIN1,4.071486,5.253148,4.671414899897317e-05,0.003470964837581814
SLMAP,4.0624914,2.6113834,4.855176318390741e-05,0.0035907440467615242
PPP1R12B,4.0545583,3.478524,5.0229106451775925e-05,0.0037061863401271562
RPL6,4.047403,0.23488668,5.1789040513654194e-05,0.003794903029675441
LRRC39,4.0460186,7.381018,5.209608285440828e-05,0.003813014101057651
VGLL4,4.036398,2.1158721,5.427809796416513e-05,0.003963608307413008
ESR1,4.032852,4.4518414,5.5104000184743706e-05,0.004010122765444485
ASPN,4.031354,6.7091427,5.5456475843152146e-05,0.004031166680667123
ATP5I,4.0298367,0.74921966,5.581558913374301e-05,0.004052644548767793
SMPDL3A,4.016247,3.149663,5.9132385428404805e-05,0.004254658651892128
COL14A1,4.0094895,6.2149377,6.085018560748216e-05,0.004363465392936533
ALDH1B1,4.0009055,4.4987273,6.31005742704739e-05,0.0045096018718529364
MFAP2,3.9812407,5.6885295,6.855648492380497e-05,0.0048559191217943595
COX5B,3.9746163,0.36854252,7.049282596793276e-05,0.004987524087955616
LDB2,3.9534976,2.394914,7.701701514368651e-05,0.005395173237958775
POPDC2,3.9515507,5.85829,7.76463887786783e-05,0.005427320634752907
PRUNE2,3.9320567,4.303079,8.422218790487755e-05,0.005835708660738724
SQSTM1,3.9301858,0.9426214,8.48802843496905e-05,0.005874915072320915
PRPS2,3.92547,2.354595,8.656048697688918e-05,0.0059680933135849296
SKP1,3.9253564,0.50188375,8.660141372477465e-05,0.0059680933135849296
SDC2,3.918789,1.9443563,8.899502817369162e-05,0.006100039191621272
GSN,3.9044275,1.139104,9.44487105724788e-05,0.006439197583644253
C16orf45,3.8985047,4.2151437,9.678853744366418e-05,0.006584619336325004
FILIP1L,3.867677,2.5125194,0.00010987708211124641,0.007364887323787198
ZNF667-AS1,3.85738,3.066036,0.0001146089098094555,0.007649844391967188
PLS3,3.837159,2.0789754,0.0001244658807531712,0.008247681330016448
S100A16,3.8306546,1.7431201,0.0001278027654400074,0.008424530740086285
RPL7,3.8170455,0.07588286,0.00013505927917712018,0.008829743039180165
PARVA,3.8057625,2.71965,0.00014136802551581549,0.009194986476783027
FSTL1,3.75094,3.4798424,0.00017617278701200905,0.011195763032498703
TRIM63,3.748538,7.009883,0.00017786831523564637,0.011280996722370772
HSPB2,3.7414587,6.256264,0.00018295535731399203,0.011523292074859614
DDR2,3.7090507,4.6086755,0.00020803785257825775,0.012881276930111183
NEXN,3.6528187,3.1723576,0.00025937739627574126,0.015729880440619407
HSD17B14,3.6415925,1.8705937,0.00027095671693783493,0.01638529046956364
RBPMS,3.6247344,1.9473825,0.0002892586629059542,0.017409379846750894
ALDH1A2,3.6174715,3.5655174,0.00029749513799452856,0.017837662807982668
TMEM106C,3.6157079,2.1804316,0.0002995279998181112,0.01792579365076867
SSPN,3.6090202,3.2053492,0.0003073556523526482,0.018335632778484795
CALU,3.6063275,1.5005991,0.00031056118833891147,0.018481873635380248
C1R,3.6056511,2.5800195,0.0003113712388343649,0.018512779061863542
ISYNA1,3.5971367,3.6239579,0.000321739444271914,0.018987398139854186
LXN,3.59598,2.5471578,0.00032317272010703584,0.019036696853150528
HOXA10,3.5947473,6.6679473,0.0003247065566181033,0.01910937098500089
CTGF,3.58196,2.7804427,0.0003410261851435338,0.019940793747828096
KCNQ1OT1,3.5610752,2.0617967,0.00036933931564277087,0.02149764131826757
CTSF,3.530102,2.1667368,0.0004153993280991883,0.023873089364054165
NDRG2,3.5214043,2.126059,0.00042926749060600563,0.02458135431593401
