dataset,patient_id,identity_pool,gene,n_cells,n_assayed_cells,not_assayed_fraction,not_detected_fraction_among_assayed,detected_fraction_among_assayed,detected_low_fraction_among_assayed,detected_high_fraction_among_assayed,detected_unclassified_fraction_among_assayed
GSE135851,LAM2,broad_lam_like,PMEL,1310,1310,0.0,0.9778625954198473,0.022137404580152672,0.0061068702290076335,0.0007633587786259542,0.015267175572519083
GSE135851,LAM2,broad_lam_like,MLANA,1310,1310,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM2,broad_lam_like,TYRP1,1310,1310,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM2,broad_lam_like,DCT,1310,1310,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM2,broad_lam_like,MITF,1310,1310,0.0,0.4946564885496183,0.5053435114503817,0.14198473282442747,0.0984732824427481,0.2648854961832061
GSE135851,LAM2,broad_lam_like,GPNMB,1310,1310,0.0,0.13587786259541984,0.8641221374045801,0.21145038167938932,0.23587786259541985,0.416793893129771
GSE135851,LAM2,high_confidence,PMEL,154,154,0.0,0.9545454545454546,0.045454545454545456,0.025974025974025976,0.006493506493506494,0.012987012987012988
GSE135851,LAM2,high_confidence,MLANA,154,154,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM2,high_confidence,TYRP1,154,154,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM2,high_confidence,DCT,154,154,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM2,high_confidence,MITF,154,154,0.0,0.35064935064935066,0.6493506493506493,0.2727272727272727,0.07792207792207792,0.2987012987012987
GSE135851,LAM2,high_confidence,GPNMB,154,154,0.0,0.05844155844155844,0.9415584415584416,0.16233766233766234,0.3116883116883117,0.4675324675324675
GSE135851,LAM2,unrestricted_lam,PMEL,5506,5506,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM2,unrestricted_lam,MLANA,5506,5506,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM2,unrestricted_lam,TYRP1,5506,5506,0.0,1.0,0.0,0.0,0.0,0.0
GSE135851,LAM2,unrestricted_lam,DCT,5506,5506,0.0,0.9992735197965855,0.000726480203414457,0.0,0.0,0.000726480203414457
GSE135851,LAM2,unrestricted_lam,MITF,5506,5506,0.0,0.7213948419905557,0.27860515800944424,0.06538321830730112,0.07119505993461678,0.14202687976752634
