dataset,patient_id,identity_pool,n_cells,module,mean_score,median_score,n_genes_available,mean_genes_detected,module_status
GSE122960_normal_lung,GSE122960_Donor_07,other,7516,cd8_cytotoxicity,0.1985384397906517,0.0,5,0.18267695582756785,analyzable
GSE122960_normal_lung,GSE122960_Donor_07,other,7516,identity_protected,0.025084376098532774,0.0,6,0.028605641298563064,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_07,other,7516,ifn_response,1.3430828776461374,1.4175167965678996,9,2.027275146354444,analyzable
GSE122960_normal_lung,GSE122960_Donor_07,other,7516,immune_evasion,0.990987108141152,0.9794166567227844,6,1.0778339542309738,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_07,other,7516,inflammatory,1.2718994406948183,1.2383581017416492,10,2.114821713677488,analyzable
GSE122960_normal_lung,GSE122960_Donor_07,other,7516,macrophage_markers,1.6086886665908215,0.0,7,1.8427354976051091,analyzable
GSE122960_normal_lung,GSE122960_Donor_07,other,7516,macrophage_suppressive,1.461453144337167,0.6158943018492863,8,1.9115220862160724,analyzable
GSE122960_normal_lung,GSE122960_Donor_07,other,7516,nk_ligands,0.18088437314789005,0.0,5,0.16737626397019692,partial_coverage
GSE122960_normal_lung,GSE122960_Donor_07,other,7516,nk_markers,0.3052923629836365,0.0,4,0.21886641830761044,analyzable
GSE122960_normal_lung,GSE122960_Donor_07,other,7516,nk_state,0.3344339405537513,0.0,5,0.3122671633847791,analyzable
GSE122960_normal_lung,GSE122960_Donor_07,other,7516,presentation_machinery,2.4090895732438145,2.4169774600584986,12,4.463145290047898,analyzable
GSE122960_normal_lung,GSE122960_Donor_07,other,7516,stem_like,0.3647670705268296,0.449418918518983,10,0.6355774348057477,analyzable
GSE122960_normal_lung,GSE122960_Donor_07,other,7516,t_cell_exhaustion,0.18420426286048602,0.0,5,0.18214475784992018,analyzable
GSE122960_normal_lung,GSE122960_Donor_07,other,7516,t_cell_markers,0.04895269579239102,0.0,6,0.05920702501330495,analyzable
GSE135851,Donor1,other,7312,antigen_associated,0.10082359960270319,0.0,6,0.4039934354485777,analyzable
GSE135851,Donor1,other,7312,cd8_cytotoxicity,0.3274865744984788,0.0,5,0.7530087527352297,analyzable
GSE135851,Donor1,other,7312,identity_protected,0.0466017232134991,0.0,6,0.17190919037199126,partial_coverage
GSE135851,Donor1,other,7312,ifn_response,0.6890787266940024,0.6492652341073262,9,2.9530908096280086,analyzable
GSE135851,Donor1,other,7312,immune_evasion,0.46458323449867706,0.47390556845853105,6,1.3432713347921226,partial_coverage
GSE135851,Donor1,other,7312,inflammatory,0.3397104341287388,0.300955536626332,9,1.787062363238512,partial_coverage
GSE135851,Donor1,other,7312,macrophage_markers,1.175702478889984,0.9104780291356983,7,3.5945021881838075,analyzable
