gene,KO_vehicle_minus_WT_vehicle,KO_rapamycin_minus_KO_vehicle,KO_rapamycin_vs_WT_vehicle_descriptive
RPS25,-8.380875866666656,97.89671429999999,89.51583843333333
GNG5,4.778240924999977,-3.5316548449999914,1.246586079999986
CLEC10A,0.21249456,,
OSBPL11,0.489262671333333,-1.0486367296666668,-0.5593740583333338
MFAP3L,-0.15004298733333288,-0.17507004800000026,-0.32511303533333313
PTMA,1.945080254833334,2.455871057166668,4.400951312000002
FKBP1A,28.26664221500002,24.677458696666676,52.944100911666695
CRISP3,0.4699478623333333,-0.3931641128333334,0.07678374949999989
CCDC40,-0.13370225366666666,,
SLC5A2,-0.37946738100000044,-0.8483862919999998,-1.2278536730000003
INHBC,-0.10031962233333336,-0.08255458100000002,-0.18287420333333337
LINC01093,,,
FAM212B,-0.927768437777778,-0.20968060644444453,-1.1374490442222225
RPL23AP53,,,
ABCB9,0.253944782666667,0.01643005899999972,0.2703748416666667
SPINT3,-0.3365517556666666,-0.2180034839999998,-0.5545552396666664
ZNF99,-0.44689484349999997,,
TMEM230,-27.067757486666668,11.998823843333337,-15.068933643333331
TFEC,0.08977553599999999,0.2106228227222221,0.3003983587222221
LOC101929114,,-0.004881544000000071,
NMI,0.8561359033333336,-2.904142560000002,-2.0480066566666686
TRIM39,-0.5785424850000003,-0.2595588206666666,-0.8381013056666669
ELOVL2-AS1,-0.18111105733333321,-1.2398636233333338,-1.420974680666667
ZNF397,-0.3344781026666661,0.23528174055555562,-0.09919636211111049
ZDHHC2,0.09471456533333344,0.18720978072222216,0.2819243460555556
SETD2,0.06103810466666659,0.09863471433333326,0.15967281899999985
C21orf58,-1.6639874286666654,0.46059372177777824,-1.2033937068888871
STIM1,2.4002302376666655,4.3625929806666655,6.762823218333331
LOC284669,-1.6123013140000002,-0.7033908106666664,-2.3156921246666666
LOC283588,-0.23890548433333314,0.0027772666666665557,-0.23612821766666658
LOC646214,-0.13596178233333334,,
KRTAP3-3,,,
COL10A1,,,
SLC2A1-AS1,-2.248437019,-1.7599127616666674,-4.008349780666667
LOC101928778,,,
VWF,0.05558267566666669,0.10553553416666661,0.1611182098333333
TNFSF18,,,
WAC-AS1,-0.7235066211111105,1.5873484573333343,0.8638418362222238
PRDM9,-0.26988454733333334,-0.14043181166666663,-0.41031635899999996
ZNF326,-0.11248258350000029,0.5001399924999999,0.38765740899999956
DUS4L,-3.4137379830000008,0.7632339040000007,-2.650504079
DAO,-0.08403470166666671,-0.13211011233333336,-0.21614481400000007
SDC3,-0.01836136000000188,-0.48332521999999933,-0.5016865800000012
HOXA-AS3,-1.0767107533333329,0.2568824546666666,-0.8198282986666663
LOC441052,-0.10410934266666672,0.10779233966666668,0.0036829969999999657
TES,-5.315634221333334,-1.1107624743333329,-6.426396695666667
ZNF217,-5.243410890000002,3.7178651233333344,-1.5255457666666672
TMED6,,,
NECTIN1,-0.6125211091666669,-0.1930046459999999,-0.8055257551666668
PSD4,-0.025235502000000132,-0.13139803100000003,-0.15663353300000016
CHRNB1,-0.19128992166666658,-0.17918228633333344,-0.370472208
NMNAT2,-0.2649694629999999,-0.19684406966666712,-0.461813532666667
MKL2,0.4990399179999998,0.15919711399999992,0.6582370319999997
CAAP1,-0.48855803100000017,-0.5459600596666663,-1.0345180906666664
SLC23A1,-0.9319829489999991,-0.04599272933333243,-0.9779756783333315
BID,4.298327776000001,-0.8236148313333338,3.474712944666667
DPPA2,,,
PRR3,-0.07255412966666697,0.9971010970000016,0.9245469673333346
ANXA8,0.1249373846666666,-0.1094523793333333,0.015485005333333302
DLGAP3,-0.15932077300000003,0.2769432723333335,0.11762249933333346
PTGES,-18.343749849333335,10.464866706,-7.878883143333335
ZNRF3-AS1,,,
OSTF1,3.330264706333333,-1.797345171999999,1.5329195343333337
HOXB1,-0.32964826633333333,-0.28140570666666664,-0.611053973
SH3GLB1,1.0349146826666669,0.6285456256666659,1.6634603083333328
CEP85L,0.131359899,0.08709810466666679,0.2184580036666668
SLAMF7,-0.26264965233333337,-0.11327404866666657,-0.37592370099999994
UBA3,5.83371593,1.1994005633333344,7.033116493333335
TIMM8A,0.371622625333333,1.3956242660000013,1.7672468913333343
NME1,8.705050943333347,-14.359891056666669,-5.6548401133333215
CYHR1,3.4985364070000013,6.02847199711111,9.527008404111111
C10orf91,,,
CHST1,-1.2476133238333311,-0.6269987361666676,-1.8746120599999987
LOC100506639,-7.372828674,-1.0951624733333345,-8.467991147333334
GPSM2,0.5820501955000004,-1.2584614278333333,-0.6764112323333329
SRGAP3-AS1,-0.08589700233333342,-0.3881536783333335,-0.4740506806666669
KCNA6,-0.1378248609999999,0.033803888000000004,-0.1040209729999999
PPP1R12B,-0.1733967366666671,0.19674878650000016,0.023352049833333055
XKRY,-0.10094384599999995,-0.05691745100000001,-0.15786129699999996
KLK12,-0.3744635036666666,-0.018382161666666175,-0.39284566533333276
KIF21A,0.19949548900000003,-0.42888476200000014,-0.22938927300000012
CCNT2,-1.3944245756666662,0.7751106196666662,-0.619313956
LOC105376975,-0.186991915,0.7243770009999999,0.5373850859999999
LINC00558,,,
BCAT2,1.8110777373333322,-0.7284073296666662,1.082670407666666
ESRRA,0.06526700883333336,-0.046056787666666654,0.019210221166666708
TMEM2,1.4418526040000001,-0.607806198,0.8340464060000001
ANKRD10,-38.01195834833333,-0.8185165590000008,-38.83047490733333
TACC1,-0.6866821440000006,-0.3321374960000001,-1.0188196400000007
LRPAP1,-1.7837047320555541,15.658741962999983,13.875037230944429
EDIL3,6.853974117,6.074439714,12.928413831
LRP3,0.287651494,0.1392859453333335,0.4269374393333335
POU5F1B,-0.2807856995,0.30051504249999994,0.019729342999999955
ANKRD39,-0.9403626739999993,-0.28631433050000155,-1.2266770045000008
NUP62CL,-0.10470254533333323,,
IDS,0.343820331416667,0.4733087338333335,0.8171290652500005
FZD7,-0.8063053953333328,2.3364966769999995,1.5301912816666667
RPS28,2.066278316,7.322263385833332,9.388541701833333
APBB3,-0.3965324646666666,0.4373772246666665,0.040844759999999924
LOC101928333,-0.05117851299999998,,
SPTSSB,,,
CHST10,7.686966666664574e-05,-0.07420683133333328,-0.07412996166666663
RHBDL3,0.2644179468333334,-0.003241692999999657,0.26117625383333376
CACNA1E,0.24190342099999995,-0.2744794791666667,-0.032576058166666755
IPO13,-1.0697910390000018,0.05763792700000003,-1.0121531120000018
VPS13A,-1.1732318026666664,-0.15070103400000034,-1.3239328366666667
LOC101929631,0.007435874000000453,-1.3436230323333338,-1.3361871583333333
EIF5B,3.212854356666682,7.615560843333327,10.82841520000001
CD99P1,-0.1103785725,0.08402838200000001,-0.02635019049999998
KIAA1324L,,,
SH3BP4,-0.30306458400000014,-0.23838197466666655,-0.5414465586666667
STXBP5L,0.06447004550000013,-0.11841352966666674,-0.05394348416666661
