probe_or_gene,tsc2_loss,residual_after_rapamycin,genotype_dependent_rapamycin_response,signed_residual_ratio,absolute_residual_ratio,residual_class
Gpsm2,0.2310612075000007,-0.0810003780000006,-0.3120615855000013,,,unclassified
Gpr85,-0.05517836933333342,-0.16851648033333433,-0.11333811100000091,,,unclassified
Slc10a1,-0.04946058200000003,-0.08804464850000038,-0.03858406650000035,,,unclassified
Nmnat3,-0.03565571400000067,-0.16156771500000033,-0.12591200099999966,,,unclassified
Slc29a4,0.03699816499999997,0.041416119500000015,0.004417954500000043,,,unclassified
Gcnt3,0.07334583000000006,-0.1054721074999998,-0.17881793749999986,,,unclassified
Plxdc1,0.24119300299999935,-0.008899536000000374,-0.2500925389999997,,,unclassified
Kdm5d,-0.35113849883333437,-0.6665727368333325,-0.31543423799999815,,,unclassified
Vwa8,0.05362196350000126,-0.031342209750000016,-0.08496417325000127,,,unclassified
Slc39a11,0.3088979864999999,-0.00239802799999822,-0.3112960144999981,,,unclassified
Pqlc3,0.11468855399999978,0.14118622100000078,0.026497667000001,,,unclassified
Farsa,-0.07221182199999987,-0.12299431449999965,-0.050782492499999776,,,unclassified
Mtfmt,-0.08300895200000014,-0.06535554199999893,0.017653410000001202,,,unclassified
Lrrc46,0.19338339100000024,-0.025744202999999466,-0.2191275939999997,,,unclassified
Kif12,0.09381936150000048,-0.051828747500000105,-0.14564810900000058,,,unclassified
Lyzl4,-0.1104228264999998,-0.20626007299999927,-0.09583724649999947,,,unclassified
Slc25a17,0.09167059800000033,-0.07722958649999967,-0.1689001845,,,unclassified
Cipc,0.046779018166667186,0.06555347333333383,0.018774455166666648,,,unclassified
Zfp764,0.019881157500000413,-0.2612202875000005,-0.2811014450000009,,,unclassified
Wipi1,-0.29575683159999944,0.07901524009999861,0.37477207169999804,,,unclassified
Tbc1d19,0.03778217049999988,0.015170425999999182,-0.022611744500000697,,,unclassified
Erbb2,-0.31752140050000044,-0.1583538260000008,0.15916757449999963,,,unclassified
Slc37a3,-0.06838556125000039,0.04878431524999982,0.11716987650000021,,,unclassified
Bst2,0.7866370399999987,1.0824411429999987,0.29580410300000004,1.376036326740984,1.376036326740984,worsened_residual
Brd4,-0.16202023616666672,-0.11736291433333257,0.04465732183333415,,,unclassified
Serpina3g,-0.9153372284999985,-0.3616304820000016,0.553706746499997,0.3950789618735606,0.3950789618735606,partial_rescue_residual
Glipr1,-0.2889195899999999,0.484339898,0.7732594879999999,,,unclassified
Emsy,-0.18254017900000008,-0.3332271855000002,-0.1506870065000001,,,unclassified
Fam83f,-0.0021455394999989608,-0.25629598200000014,-0.2541504425000012,,,unclassified
Egfr,-0.11182012899999982,-0.09576470649999891,0.016055422500000915,,,unclassified
Myo5c,0.22190703850000038,0.004115088999999017,-0.21779194950000136,,,unclassified
Ugt2b1,-0.18067671899999915,-0.21151024800000062,-0.03083352900000147,,,unclassified
Gdap1l1,0.2220328199999999,-0.15541589000000045,-0.37744871000000035,,,unclassified
Dnah8,0.20719449200000017,-0.1073225975000005,-0.3145170895000007,,,unclassified
Plin5,0.2353518535000001,-0.03683710900000037,-0.27218896250000046,,,unclassified
Steap1,0.6262922327499991,0.1472594909999998,-0.4790327417499993,0.23512903928792978,0.23512903928792978,partial_rescue_residual
BC022687,0.24659784300000087,0.01635497400000041,-0.23024286900000046,,,unclassified
BC016579,-0.051681413499998996,-0.11071823649999946,-0.05903682300000046,,,unclassified
Myc,-0.4347676570000001,0.18113742550000111,0.6159050825000012,,,unclassified
Cyp4a31,-0.05980245750000002,-0.07808259799999906,-0.018280140499999042,,,unclassified
Mtfr1,-0.013897680250000377,0.04393543075000039,0.05783311100000077,,,unclassified
Dync1li1,-0.0008342560000009769,-0.21928999950000083,-0.21845574349999985,,,unclassified
Sox9,-0.2024698887500005,0.03283375275000022,0.23530364150000072,,,unclassified
Baiap2l1,0.16477916950000004,0.16226697025000014,-0.0025121992499999024,,,unclassified
Ociad1,-0.030029737250000466,0.061038171999999946,0.09106790925000041,,,unclassified
BC021614,-0.0643956250000004,-0.024922276499999896,0.039473348500000505,,,unclassified
Pip5k1c,0.03977812550000159,0.026651173250002103,-0.01312695224999949,,,unclassified
Haus1,0.11543715449999947,-0.08566526799999963,-0.2011024224999991,,,unclassified
Ahdc1,0.008916645000001111,-0.12130896824999926,-0.13022561325000037,,,unclassified
Car8,0.023586906750000303,-0.16938774024999947,-0.19297464699999978,,,unclassified
Anxa13,-0.0264619245000004,0.031034735499999577,0.05749665999999998,,,unclassified
Epn3,-0.11512216899999927,-0.11759689650000027,-0.002474727500000995,,,unclassified
Tapbpl,-0.08341631950000039,-0.029683367750000578,0.05373295174999981,,,unclassified
