contrast,module,n_genes,mean_effect,median_effect,n_fdr_supported,fraction_fdr_supported
residual_hydrogel,mTORC1,7,-0.03142949718789898,-0.0392499190336743,0,0.0
residual_hydrogel,mapk_cdk,9,0.15283162733425207,0.033027042661391,1,0.1111111111111111
residual_hydrogel,myogenic,6,0.48957787110433965,0.8082732859750847,3,0.5
residual_hydrogel,protein_translation,7,0.02576347894862308,0.012968721551994,0,0.0
escape_plastic,ecM_invasion,10,0.42067185672145974,0.4433010264221813,2,0.2
escape_plastic,survival_stress,9,-0.011950238925959013,0.0129262852889663,1,0.1111111111111111
escape_plastic,autophagy_lysosome,8,-0.4567671532206254,-0.5054303257717327,3,0.375
escape_plastic,metabolism_lipogenesis,8,-1.047801869371376,-0.8314650037333473,2,0.25
escape_plastic,mTORC1,7,0.10549083632487552,0.1151499425056514,0,0.0
escape_plastic,mapk_cdk,9,0.04548663466144872,-0.1937759603828497,1,0.1111111111111111
escape_plastic,myogenic,6,0.7584425786173613,0.833554225474408,1,0.16666666666666666
escape_plastic,protein_translation,7,0.13687794667534808,0.235070820204621,0,0.0
escape_hydrogel,ecM_invasion,10,0.039961397482748094,-0.1335987926605153,3,0.3
escape_hydrogel,survival_stress,9,0.1103640024948228,0.0337634257310428,2,0.2222222222222222
escape_hydrogel,autophagy_lysosome,8,-0.584600198258656,-0.5818781782579823,4,0.5
escape_hydrogel,metabolism_lipogenesis,8,-1.183947339572304,-0.6140755738620687,4,0.5
escape_hydrogel,mTORC1,7,-0.0074226856427683785,-0.1133820631182667,0,0.0
escape_hydrogel,mapk_cdk,9,0.21010764323152825,0.0965003154793859,2,0.2222222222222222
escape_hydrogel,myogenic,6,0.6941142928270105,0.736338217486417,2,0.3333333333333333
escape_hydrogel,protein_translation,7,0.10700753013984972,0.1857295092747142,0,0.0
hydrogel_specific_residual,ecM_invasion,10,0.28849321450486637,0.0711571770147627,1,0.1
hydrogel_specific_residual,survival_stress,9,0.06669416646340792,0.1013897566580861,0,0.0
hydrogel_specific_residual,autophagy_lysosome,8,0.07496947002985319,0.0929168928309407,0,0.0
hydrogel_specific_residual,metabolism_lipogenesis,8,0.42090085339987793,0.4957231644143132,0,0.0
hydrogel_specific_residual,mTORC1,7,-0.02852158784750669,-0.0789531280998947,0,0.0
hydrogel_specific_residual,mapk_cdk,9,-0.10795963207047066,-0.0831916179930427,0,0.0
hydrogel_specific_residual,myogenic,6,0.290357407514143,0.5193321316387665,0,0.0
hydrogel_specific_residual,protein_translation,7,-0.03086752857302111,-0.0147332541818583,0,0.0
environment_dependent_escape,ecM_invasion,10,-0.38071045923871166,-0.4351340277582074,0,0.0
environment_dependent_escape,survival_stress,9,0.12231424142078179,0.0264156143782923,0,0.0
environment_dependent_escape,autophagy_lysosome,8,-0.12783304503803053,-0.13156891187117575,0,0.0
environment_dependent_escape,metabolism_lipogenesis,8,-0.13614547020092793,-0.15170540096441404,0,0.0
environment_dependent_escape,mTORC1,7,-0.11291352196764395,-0.1205303381873461,0,0.0
environment_dependent_escape,mapk_cdk,9,0.16462100857007955,-0.0923119134233458,0,0.0
environment_dependent_escape,myogenic,6,-0.06432828579035077,-0.06445297272556424,0,0.0
environment_dependent_escape,protein_translation,7,-0.02987041653549838,-0.1011287063298711,0,0.0
