dataset,relative_path,file_role,origin,size_bytes,sha256,sha256_status,source_url,manifest_source
GSE135851,raw/GSE135851/extracted/GSM4035465_LAM1.mtx.tsv/LAM1/barcodes.tsv,extracted_from_archive,derived_from_downloaded_archive,14008320,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035465_LAM1.mtx.tsv/LAM1/genes.tsv,extracted_from_archive,derived_from_downloaded_archive,816952,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035465_LAM1.mtx.tsv/LAM1/matrix.mtx,extracted_from_archive,derived_from_downloaded_archive,298292983,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035466_LAM2.mtx.tsv.tar.gz,extracted_from_archive,derived_from_downloaded_archive,62115381,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035466_LAM2.mtx.tsv/LAM2/barcodes.tsv,extracted_from_archive,derived_from_downloaded_archive,14008320,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035466_LAM2.mtx.tsv/LAM2/genes.tsv,extracted_from_archive,derived_from_downloaded_archive,816952,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035466_LAM2.mtx.tsv/LAM2/matrix.mtx,extracted_from_archive,derived_from_downloaded_archive,341035429,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035467_LAM3.mtx.tsv.tar.gz,extracted_from_archive,derived_from_downloaded_archive,52183008,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035467_LAM3.mtx.tsv/LAM3/barcodes.tsv,extracted_from_archive,derived_from_downloaded_archive,14008320,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035467_LAM3.mtx.tsv/LAM3/genes.tsv,extracted_from_archive,derived_from_downloaded_archive,816952,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035467_LAM3.mtx.tsv/LAM3/matrix.mtx,extracted_from_archive,derived_from_downloaded_archive,282637380,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035468_LAM4.mtx.tsv.tar.gz,extracted_from_archive,derived_from_downloaded_archive,24522865,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035468_LAM4.mtx.tsv/LAM4/barcodes.tsv,extracted_from_archive,derived_from_downloaded_archive,14008320,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035468_LAM4.mtx.tsv/LAM4/genes.tsv,extracted_from_archive,derived_from_downloaded_archive,1618824,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035468_LAM4.mtx.tsv/LAM4/matrix.mtx,extracted_from_archive,derived_from_downloaded_archive,119066284,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035469_AML.mtx.tsv.tar.gz,extracted_from_archive,derived_from_downloaded_archive,22309317,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035469_AML.mtx.tsv/AML/barcodes.tsv,extracted_from_archive,derived_from_downloaded_archive,14008320,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035469_AML.mtx.tsv/AML/genes.tsv,extracted_from_archive,derived_from_downloaded_archive,816952,,archive_or_format_verified,,
GSE135851,raw/GSE135851/extracted/GSM4035469_AML.mtx.tsv/AML/matrix.mtx,extracted_from_archive,derived_from_downloaded_archive,113509873,,archive_or_format_verified,,
