contrast,program,genotype,condition_a,condition_b,n_a,n_b,mean_a,mean_b,effect_a_minus_b
STAT3_perturbation_within_genotype,cell_cycle,TSC2-null,siSTAT3,siCtrl,1,1,44.590261124603174,42.914169374900794,1.6760917497023797
STAT3_perturbation_within_genotype,cell_cycle,TSC2-reexpressed,siSTAT3,siCtrl,1,1,54.4003493062996,51.25669005555556,3.1436592507440437
STAT3_perturbation_within_genotype,hormone_related,TSC2-null,siSTAT3,siCtrl,1,1,0.2457039117452917,0.26404778448408955,-0.018343872738797867
STAT3_perturbation_within_genotype,hormone_related,TSC2-reexpressed,siSTAT3,siCtrl,1,1,0.829462253752466,0.8743202844469256,-0.044858030694459594
STAT3_perturbation_within_genotype,hypoxia_stress,TSC2-null,siSTAT3,siCtrl,1,1,13.07358905724043,14.617323345396295,-1.543734288155866
STAT3_perturbation_within_genotype,hypoxia_stress,TSC2-reexpressed,siSTAT3,siCtrl,1,1,13.189235796595332,13.559284160683049,-0.370048364087717
STAT3_perturbation_within_genotype,lineage_uterine_smooth_muscle,TSC2-null,siSTAT3,siCtrl,1,1,7.538730300276722,8.069831484993227,-0.5311011847165048
STAT3_perturbation_within_genotype,lineage_uterine_smooth_muscle,TSC2-reexpressed,siSTAT3,siCtrl,1,1,25.56262586288869,31.836390007388744,-6.273764144500053
STAT3_perturbation_within_genotype,mTOR_translation,TSC2-null,siSTAT3,siCtrl,1,1,129.20947000426702,118.41426475289144,10.795205251375577
STAT3_perturbation_within_genotype,mTOR_translation,TSC2-reexpressed,siSTAT3,siCtrl,1,1,69.49918088049287,65.49952639313855,3.99965448735432
STAT3_perturbation_within_genotype,macrophage_TREM2_TYROBP,TSC2-null,siSTAT3,siCtrl,1,1,0.5071894499084248,0.5156047974212454,-0.008415347512820581
STAT3_perturbation_within_genotype,macrophage_TREM2_TYROBP,TSC2-reexpressed,siSTAT3,siCtrl,1,1,2.5704246149721612,2.7323198140721248,-0.16189519909996353
STAT3_perturbation_within_genotype,normal_lung_interstitial,TSC2-null,siSTAT3,siCtrl,1,1,12.032507752396977,12.62354094750916,-0.5910331951121819
STAT3_perturbation_within_genotype,normal_lung_interstitial,TSC2-reexpressed,siSTAT3,siCtrl,1,1,5.837185423880494,7.2992992348099826,-1.4621138109294884
STAT3_perturbation_within_genotype,protease_ECM_niche,TSC2-null,siSTAT3,siCtrl,1,1,34.91007731661994,38.111961545162195,-3.201884228542255
STAT3_perturbation_within_genotype,protease_ECM_niche,TSC2-reexpressed,siSTAT3,siCtrl,1,1,35.68827273264463,37.96913942779311,-2.2808666951484824
