gene,environments,mean_suppression_fraction,categories,cross_environment_retention_candidate
AC078923.1,1,0.5563893065743868,partially_retained,False
AC079610.1,1,1.2643744790113038,suppressed,False
AC080038.1,1,-0.02458837646350487,enhanced_or_reprogrammed,False
AC080080.1,1,1.423937495406944,suppressed,False
AC083837.1,1,-0.829228958193295,enhanced_or_reprogrammed,False
AC083843.2,1,0.30796364498877016,partially_retained,False
AC083862.2,1,1.2542593696881945,suppressed,False
AC083967.1,1,0.9411620578593304,suppressed,False
AC084198.1,1,0.6660889751206038,partially_retained,False
AC084375.1,1,0.3925795022513683,partially_retained,False
AC087284.1,1,0.657188632585179,partially_retained,False
AC087379.1,2,-0.15139864445603657,enhanced_or_reprogrammed,True
AC087386.1,1,0.40095789158457484,partially_retained,False
AC087386.2,1,1.1482339253944924,suppressed,False
AC087457.1,1,0.8256783868184362,suppressed,False
AC089983.1,1,-0.33965560797734784,enhanced_or_reprogrammed,False
AC090018.2,1,1.552739330436216,suppressed,False
AC090197.1,1,0.8145893676652374,suppressed,False
AC090198.1,1,0.8991605411888501,suppressed,False
AC090360.1,1,0.669006537064766,partially_retained,False
AC090517.5,1,0.8212011499321983,suppressed,False
AC090994.1,1,1.3198848701560926,suppressed,False
AC091045.1,1,0.257707368479859,partially_retained,False
AC091057.1,1,1.2750863840265432,suppressed,False
AC091138.1,1,0.5051168612682011,partially_retained,False
AC091182.2,1,0.8551648990579981,suppressed,False
AC091271.1,1,0.7056167560723013,partially_retained,False
AC091564.4,1,1.203786219951727,suppressed,False
AC092032.2,1,2.2661070139171366,suppressed,False
AC092070.2,1,0.3663740519562363,partially_retained,False
AC092123.1,1,1.0768826973460626,suppressed,False
AC092127.2,1,0.5299178523579238,partially_retained,False
AC092155.1,2,0.02090305252975122,enhanced_or_reprogrammed;fully_retained,True
AC092164.1,1,0.3561468515892875,partially_retained,False
AC092171.4,1,0.6104945032703606,partially_retained,False
AC092279.1,1,0.38990015207605433,partially_retained,False
AC092490.1,2,0.7118515011727247,partially_retained,True
AC092535.5,2,0.7592089469480116,partially_retained;suppressed,True
AC092567.2,1,0.8596570857206776,suppressed,False
AC092667.1,1,0.4496618676563172,partially_retained,False
AC092807.3,2,2.2122152654259613,suppressed,False
AC092821.3,2,1.0161336943576638,suppressed,False
AC092828.1,1,0.586757157061496,partially_retained,False
AC092944.1,1,0.554623176077697,partially_retained,False
AC092967.1,1,0.6298735338641044,partially_retained,False
AC093274.1,1,2.00377791085005,suppressed,False
AC093503.2,1,0.4214046294986825,partially_retained,False
AC093512.2,1,0.5377428453089972,partially_retained,False
AC093752.1,1,0.6012062266182672,partially_retained,False
AC093884.1,1,-0.23745116232353314,enhanced_or_reprogrammed,False
AC093908.1,1,0.1535926678619085,fully_retained,False
AC093909.1,1,1.1960080838906821,suppressed,False
AC095060.1,1,1.2527414191744837,suppressed,False
AC096647.1,2,-0.06388283026346597,enhanced_or_reprogrammed;partially_retained,True
AC096887.2,1,0.771194489926847,suppressed,False
AC097359.2,2,0.8247267785828247,partially_retained;suppressed,True
AC097376.2,1,0.6080345344031395,partially_retained,False
AC097451.1,1,0.04312365255145412,fully_retained,False
AC097634.1,1,0.8201664720944675,suppressed,False
AC097634.3,1,0.9419480329425651,suppressed,False
