contrast,program,genotype,environment,condition_a,condition_b,n_a,n_b,mean_a,mean_b,effect_a_minus_b,treatment
hydrogel_minus_plastic,hypoxia_stress,WT,,,,2,2,10.55978704533915,10.949049198573732,-0.3892621532345828,vehicle
TSC2ko_minus_WT,lineage_uterine_smooth_muscle,,hydrogel,,,2,2,10.64990353184067,10.253744498883279,0.3961590329573905,rapamycin
TSC2ko_minus_WT,lineage_uterine_smooth_muscle,,hydrogel,,,2,2,10.627272740213435,10.521859848881984,0.10541289133145071,vehicle
TSC2ko_minus_WT,lineage_uterine_smooth_muscle,,plastic,,,2,2,11.823739712588786,11.530768787402005,0.2929709251867809,rapamycin
TSC2ko_minus_WT,lineage_uterine_smooth_muscle,,plastic,,,2,2,11.404342862158657,11.530340330125938,-0.12599746796728084,vehicle
hydrogel_minus_plastic,lineage_uterine_smooth_muscle,TSC2ko,,,,2,2,10.64990353184067,11.823739712588786,-1.1738361807481166,rapamycin
hydrogel_minus_plastic,lineage_uterine_smooth_muscle,TSC2ko,,,,2,2,10.627272740213435,11.404342862158657,-0.7770701219452221,vehicle
hydrogel_minus_plastic,lineage_uterine_smooth_muscle,WT,,,,2,2,10.253744498883279,11.530768787402005,-1.2770242885187262,rapamycin
hydrogel_minus_plastic,lineage_uterine_smooth_muscle,WT,,,,2,2,10.521859848881984,11.530340330125938,-1.0084804812439536,vehicle
TSC2ko_minus_WT,mTOR_translation,,hydrogel,,,2,2,13.456587973003849,13.328134241644428,0.1284537313594214,rapamycin
TSC2ko_minus_WT,mTOR_translation,,hydrogel,,,2,2,13.331226356012795,13.236651261683528,0.09457509432926692,vehicle
TSC2ko_minus_WT,mTOR_translation,,plastic,,,2,2,13.714347449096696,13.66365202855378,0.050695420542915315,rapamycin
TSC2ko_minus_WT,mTOR_translation,,plastic,,,2,2,13.573922135239176,13.620063324737773,-0.0461411894985968,vehicle
hydrogel_minus_plastic,mTOR_translation,TSC2ko,,,,2,2,13.456587973003849,13.714347449096696,-0.257759476092847,rapamycin
hydrogel_minus_plastic,mTOR_translation,TSC2ko,,,,2,2,13.331226356012795,13.573922135239176,-0.24269577922638064,vehicle
hydrogel_minus_plastic,mTOR_translation,WT,,,,2,2,13.328134241644428,13.66365202855378,-0.3355177869093531,rapamycin
hydrogel_minus_plastic,mTOR_translation,WT,,,,2,2,13.236651261683528,13.620063324737773,-0.38341206305424436,vehicle
TSC2ko_minus_WT,macrophage_TREM2_TYROBP,,hydrogel,,,2,2,3.193316131124453,3.0350974595220848,0.15821867160236813,rapamycin
TSC2ko_minus_WT,macrophage_TREM2_TYROBP,,hydrogel,,,2,2,3.575548021618168,3.0955781677652365,0.47996985385293156,vehicle
TSC2ko_minus_WT,macrophage_TREM2_TYROBP,,plastic,,,2,2,2.9336282505157447,2.7411990382444236,0.19242921227132115,rapamycin
TSC2ko_minus_WT,macrophage_TREM2_TYROBP,,plastic,,,2,2,3.1996286117139077,2.875146394492339,0.32448221722156845,vehicle
hydrogel_minus_plastic,macrophage_TREM2_TYROBP,TSC2ko,,,,2,2,3.193316131124453,2.9336282505157447,0.2596878806087082,rapamycin
hydrogel_minus_plastic,macrophage_TREM2_TYROBP,TSC2ko,,,,2,2,3.575548021618168,3.1996286117139077,0.3759194099042604,vehicle
hydrogel_minus_plastic,macrophage_TREM2_TYROBP,WT,,,,2,2,3.0350974595220848,2.7411990382444236,0.2938984212776612,rapamycin
hydrogel_minus_plastic,macrophage_TREM2_TYROBP,WT,,,,2,2,3.0955781677652365,2.875146394492339,0.2204317732728973,vehicle
TSC2ko_minus_WT,normal_lung_interstitial,,hydrogel,,,2,2,14.286365804089007,14.476901021607167,-0.1905352175181605,rapamycin
TSC2ko_minus_WT,normal_lung_interstitial,,hydrogel,,,2,2,14.004412597659762,14.234519561292698,-0.23010696363293626,vehicle
TSC2ko_minus_WT,normal_lung_interstitial,,plastic,,,2,2,14.045570059468997,14.594841100571797,-0.5492710411028003,rapamycin
TSC2ko_minus_WT,normal_lung_interstitial,,plastic,,,2,2,13.733680566314849,14.462266794887626,-0.7285862285727767,vehicle
hydrogel_minus_plastic,normal_lung_interstitial,TSC2ko,,,,2,2,14.286365804089007,14.045570059468997,0.2407957446200104,rapamycin
hydrogel_minus_plastic,normal_lung_interstitial,TSC2ko,,,,2,2,14.004412597659762,13.733680566314849,0.2707320313449131,vehicle
hydrogel_minus_plastic,normal_lung_interstitial,WT,,,,2,2,14.476901021607167,14.594841100571797,-0.11794007896462944,rapamycin
hydrogel_minus_plastic,normal_lung_interstitial,WT,,,,2,2,14.234519561292698,14.462266794887626,-0.22774723359492732,vehicle
TSC2ko_minus_WT,protease_ECM_niche,,hydrogel,,,2,2,8.767554656847064,8.598943932371373,0.16861072447569114,rapamycin
TSC2ko_minus_WT,protease_ECM_niche,,hydrogel,,,2,2,8.884799594690875,8.547298587497892,0.3375010071929836,vehicle
TSC2ko_minus_WT,protease_ECM_niche,,plastic,,,2,2,8.258549098002124,8.092538983224326,0.16601011477779792,rapamycin
TSC2ko_minus_WT,protease_ECM_niche,,plastic,,,2,2,8.42121483997989,8.246676501465444,0.174538338514445,vehicle
hydrogel_minus_plastic,protease_ECM_niche,TSC2ko,,,,2,2,8.767554656847064,8.258549098002124,0.5090055588449403,rapamycin
hydrogel_minus_plastic,protease_ECM_niche,TSC2ko,,,,2,2,8.884799594690875,8.42121483997989,0.46358475471098615,vehicle
hydrogel_minus_plastic,protease_ECM_niche,WT,,,,2,2,8.598943932371373,8.092538983224326,0.506404949147047,rapamycin
hydrogel_minus_plastic,protease_ECM_niche,WT,,,,2,2,8.547298587497892,8.246676501465444,0.30062208603244756,vehicle
