program,sample_id,available_genes,score,cell_line,genotype,treatment
IL6_AT2_repair,103cell_siSTAT3,10,2.171876469831349,103cell,TSC2-reexpressed,siSTAT3
IL6_AT2_repair,103cell_Rap,10,3.4302536874976193,103cell,TSC2-reexpressed,Rap
IL6_AT2_repair,102cell_siCtrl,10,3.5988373726944447,102cell,TSC2-null,siCtrl
IL6_AT2_repair,102cell_siSTAT3,10,3.3934565026388888,102cell,TSC2-null,siSTAT3
IL6_AT2_repair,102cell_Rap,10,4.5799141004464285,102cell,TSC2-null,Rap
protease_ECM_niche,103cell_siCtrl,11,37.96913942779311,103cell,TSC2-reexpressed,siCtrl
protease_ECM_niche,103cell_siSTAT3,11,35.68827273264463,103cell,TSC2-reexpressed,siSTAT3
protease_ECM_niche,103cell_Rap,11,50.56740723630413,103cell,TSC2-reexpressed,Rap
protease_ECM_niche,102cell_siCtrl,11,38.111961545162195,102cell,TSC2-null,siCtrl
protease_ECM_niche,102cell_siSTAT3,11,34.91007731661994,102cell,TSC2-null,siSTAT3
protease_ECM_niche,102cell_Rap,11,96.55566816278885,102cell,TSC2-null,Rap
hormone_related,103cell_siCtrl,7,0.8743202844469256,103cell,TSC2-reexpressed,siCtrl
hormone_related,103cell_siSTAT3,7,0.829462253752466,103cell,TSC2-reexpressed,siSTAT3
hormone_related,103cell_Rap,7,0.7752667591025969,103cell,TSC2-reexpressed,Rap
hormone_related,102cell_siCtrl,7,0.26404778448408955,102cell,TSC2-null,siCtrl
hormone_related,102cell_siSTAT3,7,0.2457039117452917,102cell,TSC2-null,siSTAT3
hormone_related,102cell_Rap,7,0.14909586378918643,102cell,TSC2-null,Rap
hypoxia_stress,103cell_siCtrl,10,13.559284160683049,103cell,TSC2-reexpressed,siCtrl
hypoxia_stress,103cell_siSTAT3,10,13.189235796595332,103cell,TSC2-reexpressed,siSTAT3
hypoxia_stress,103cell_Rap,10,14.589722485348412,103cell,TSC2-reexpressed,Rap
hypoxia_stress,102cell_siCtrl,10,14.617323345396295,102cell,TSC2-null,siCtrl
hypoxia_stress,102cell_siSTAT3,10,13.07358905724043,102cell,TSC2-null,siSTAT3
hypoxia_stress,102cell_Rap,10,7.902881203145391,102cell,TSC2-null,Rap
cell_cycle,103cell_siCtrl,8,51.25669005555556,103cell,TSC2-reexpressed,siCtrl
cell_cycle,103cell_siSTAT3,8,54.4003493062996,103cell,TSC2-reexpressed,siSTAT3
cell_cycle,103cell_Rap,8,60.482765913640876,103cell,TSC2-reexpressed,Rap
cell_cycle,102cell_siCtrl,8,42.914169374900794,102cell,TSC2-null,siCtrl
cell_cycle,102cell_siSTAT3,8,44.590261124603174,102cell,TSC2-null,siSTAT3
cell_cycle,102cell_Rap,8,49.406085155772615,102cell,TSC2-null,Rap
biomarker_VEGFD_PMEL_CCL14_MMP8,103cell_siCtrl,3,0.027300340350877195,103cell,TSC2-reexpressed,siCtrl
biomarker_VEGFD_PMEL_CCL14_MMP8,103cell_siSTAT3,3,0.040481649122807016,103cell,TSC2-reexpressed,siSTAT3
biomarker_VEGFD_PMEL_CCL14_MMP8,103cell_Rap,3,0.03611857368421052,103cell,TSC2-reexpressed,Rap
biomarker_VEGFD_PMEL_CCL14_MMP8,102cell_siCtrl,3,0.04776618823333333,102cell,TSC2-null,siCtrl
biomarker_VEGFD_PMEL_CCL14_MMP8,102cell_siSTAT3,3,0.035715723157894744,102cell,TSC2-null,siSTAT3
biomarker_VEGFD_PMEL_CCL14_MMP8,102cell_Rap,3,0.05693960789473684,102cell,TSC2-null,Rap
lineage_uterine_smooth_muscle,103cell_siCtrl,8,31.836390007388744,103cell,TSC2-reexpressed,siCtrl
lineage_uterine_smooth_muscle,103cell_siSTAT3,8,25.56262586288869,103cell,TSC2-reexpressed,siSTAT3
lineage_uterine_smooth_muscle,103cell_Rap,8,32.84251931526119,103cell,TSC2-reexpressed,Rap
lineage_uterine_smooth_muscle,102cell_siCtrl,8,8.069831484993227,102cell,TSC2-null,siCtrl
lineage_uterine_smooth_muscle,102cell_siSTAT3,8,7.538730300276722,102cell,TSC2-null,siSTAT3
lineage_uterine_smooth_muscle,102cell_Rap,8,5.3989476115635355,102cell,TSC2-null,Rap
normal_lung_interstitial,103cell_siCtrl,8,7.2992992348099826,103cell,TSC2-reexpressed,siCtrl
normal_lung_interstitial,103cell_siSTAT3,8,5.837185423880494,103cell,TSC2-reexpressed,siSTAT3
normal_lung_interstitial,103cell_Rap,8,7.089077019437728,103cell,TSC2-reexpressed,Rap
normal_lung_interstitial,102cell_siCtrl,8,12.62354094750916,102cell,TSC2-null,siCtrl
normal_lung_interstitial,102cell_siSTAT3,8,12.032507752396977,102cell,TSC2-null,siSTAT3
normal_lung_interstitial,102cell_Rap,8,8.02557630264194,102cell,TSC2-null,Rap
