program,sample_id,available_genes,score,genotype,environment,treatment,replicate
SLS_stem_like,Pietrobon_S12,10,7.1518718422630245,TSC2ko,hydrogel,rapamycin,2
SLS_stem_like,Pietrobon_S13,10,7.235592939607939,WT,plastic,vehicle,2
SLS_stem_like,Pietrobon_S14,10,6.918968195056527,TSC2ko,plastic,vehicle,2
SLS_stem_like,Pietrobon_S15,10,7.036730397677499,WT,plastic,rapamycin,2
SLS_stem_like,Pietrobon_S16,10,7.021854316929233,TSC2ko,plastic,rapamycin,2
IS_inflammatory,Pietrobon_S01,10,8.957897735653141,WT,hydrogel,vehicle,1
IS_inflammatory,Pietrobon_S02,10,8.819889598256236,TSC2ko,hydrogel,vehicle,1
IS_inflammatory,Pietrobon_S03,10,9.123367059667117,WT,hydrogel,rapamycin,1
IS_inflammatory,Pietrobon_S04,10,9.650592631008733,TSC2ko,hydrogel,rapamycin,1
IS_inflammatory,Pietrobon_S05,10,8.505657359614998,WT,plastic,vehicle,1
IS_inflammatory,Pietrobon_S06,10,8.598309038611395,TSC2ko,plastic,vehicle,1
IS_inflammatory,Pietrobon_S07,10,8.564157947310509,WT,plastic,rapamycin,1
IS_inflammatory,Pietrobon_S08,10,8.753597371529484,TSC2ko,plastic,rapamycin,1
IS_inflammatory,Pietrobon_S09,10,9.152962894388143,WT,hydrogel,vehicle,2
IS_inflammatory,Pietrobon_S10,10,9.044726757100683,TSC2ko,hydrogel,vehicle,2
IS_inflammatory,Pietrobon_S11,10,9.20413942185548,WT,hydrogel,rapamycin,2
IS_inflammatory,Pietrobon_S12,10,9.97743973119303,TSC2ko,hydrogel,rapamycin,2
IS_inflammatory,Pietrobon_S13,10,8.835481314909233,WT,plastic,vehicle,2
IS_inflammatory,Pietrobon_S14,10,8.765628645673118,TSC2ko,plastic,vehicle,2
IS_inflammatory,Pietrobon_S15,10,8.73573119520739,WT,plastic,rapamycin,2
IS_inflammatory,Pietrobon_S16,10,9.116549283033084,TSC2ko,plastic,rapamycin,2
MDK_dormancy_persistence,Pietrobon_S01,10,11.046790863099941,WT,hydrogel,vehicle,1
