patient,score_name,n_cells,distance_range,distance_spearman_rho,distance_spearman_pvalue,slope,ci95_low,ci95_high,pvalue,stage20_nonnegative_patient,gradient_class,n_State15
LAM32,LAMCORE_outside_scVI,3533,6.541645050048828,-0.35724588401121365,7.691466389699895e-107,-0.015394920816639707,-0.017670483505942337,-0.013119358127337074,3.1859887582371906e-39,False,negative,10
LAM32,LAMCORE_independent,3533,6.541645050048828,-0.3599399571569276,1.5229080932000852e-108,-0.01567403757016949,-0.017939243922846966,-0.013408831217492014,6.585227343778439e-41,False,negative,10
LAM4,LAMCORE_full,450,5.594154119491577,-0.25795096930519823,2.8410219024422856e-08,-0.010770564445325256,-0.016236070121719428,-0.005305058768931083,0.0001235989053030771,False,negative,0
LAM4,LAMCORE_no_gate,450,5.594154119491577,-0.24541191149915145,1.3469979211332437e-07,-0.00999163727121491,-0.015463437476650667,-0.004519837065779152,0.0003690840321497172,False,negative,0
LAM4,LAMCORE_outside_scVI,450,5.594154119491577,-0.13158366214154146,0.005178539770187846,-0.0067488209893130195,-0.010594755606645823,-0.0029028863719802156,0.0006166645321942274,False,negative,0
LAM4,LAMCORE_independent,450,5.594154119491577,-0.13281797276365154,0.004769966661077692,-0.0067484295398157375,-0.01061653325252996,-0.0028803258271015153,0.0006625864877831128,False,negative,0
LAM44,LAMCORE_full,548,4.266474485397339,0.10696911447904771,0.012225853316826348,-0.003366924514511941,-0.01207659800524867,0.005342748976224787,0.44796949151314824,True,positive,0
LAM44,LAMCORE_no_gate,548,4.266474485397339,0.10720529929005282,0.012034819115024145,-0.0030681875221256517,-0.01184362937634851,0.005707254332097206,0.4925058485079046,True,positive,0
LAM44,LAMCORE_outside_scVI,548,4.266474485397339,0.15226869037454654,0.0003472148943379496,0.00588208391189607,0.00011214499643158286,0.011652022827360557,0.045725301363560344,True,positive,0
LAM44,LAMCORE_independent,548,4.266474485397339,0.15083342466444657,0.00039538053373356876,0.00594598267551599,0.00015684217602297476,0.011735123175009006,0.04412829034220813,True,positive,0
LAM50,LAMCORE_full,2051,6.338149785995483,-0.13281965562091919,1.5580916076416066e-09,-0.018108905038910262,-0.021225490675886236,-0.01499231940193429,3.284354799719559e-29,False,negative,1
LAM50,LAMCORE_no_gate,2051,6.338149785995483,-0.1342186120981023,1.0447921947412395e-09,-0.01806872763078468,-0.021206870188753384,-0.014930585072815979,9.984646253372906e-29,False,negative,1
LAM50,LAMCORE_outside_scVI,2051,6.338149785995483,-0.18246585413838434,8.188694754965287e-17,-0.015467099708411884,-0.017838294204840607,-0.01309590521198316,4.192010211447586e-36,False,negative,1
LAM50,LAMCORE_independent,2051,6.338149785995483,-0.18489982274145925,3.132434896166625e-17,-0.01540498397305714,-0.01778272147857343,-0.013027246467540853,1.1708736661124169e-35,False,negative,1
