scope,patient,distance_segment,n_cells,LAMCORE_full_median,LAMCORE_full_q25,LAMCORE_full_q75,LAMCORE_no_gate_median,LAMCORE_no_gate_q25,LAMCORE_no_gate_q75,LAMCORE_outside_scVI_median,LAMCORE_outside_scVI_q25,LAMCORE_outside_scVI_q75,LAMCORE_independent_median,LAMCORE_independent_q25,LAMCORE_independent_q75,CORE1_median,CORE1_q25,CORE1_q75,CORE2_median,CORE2_q25,CORE2_q75,CORE3_median,CORE3_q25,CORE3_q75,melanocytic_median,melanocytic_q25,melanocytic_q75,lam_support_median,lam_support_q25,lam_support_q75,HOX_PBX_median,HOX_PBX_q25,HOX_PBX_q75,myogenic_median,myogenic_q25,myogenic_q75,T_NK_median,T_NK_q25,T_NK_q75,macrophage_median,macrophage_q25,macrophage_q75,AT2_median,AT2_q25,AT2_q75,endothelial_median,endothelial_q25,endothelial_q75,lymphatic_endothelial_median,lymphatic_endothelial_q25,lymphatic_endothelial_q75,fibroblast_median,fibroblast_q25,fibroblast_q75,pericyte_VSMC_median,pericyte_VSMC_q25,pericyte_VSMC_q75,mesothelial_median,mesothelial_q25,mesothelial_q75,ciliated_median,ciliated_q25,ciliated_q75
patient,LAM1164,mid,1,0.08175008744001389,0.08175008744001389,0.08175008744001389,0.07803317159414291,0.07803317159414291,0.07803317159414291,0.060767579823732376,0.060767579823732376,0.060767579823732376,0.057910606265068054,0.057910606265068054,0.057910606265068054,0.0,0.0,0.0,0.4069828689098358,0.4069828689098358,0.4069828689098358,0.4651232659816742,0.4651232659816742,0.4651232659816742,1.0852876901626587,1.0852876901626587,1.0852876901626587,0.0,0.0,0.0,0.2034914344549179,0.2034914344549179,0.2034914344549179,0.0,0.0,0.0,0.0,0.0,0.0,0.20161381363868713,0.20161381363868713,0.20161381363868713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31682172417640686,0.31682172417640686,0.31682172417640686,0.0,0.0,0.0
patient,LAM1164,far,2,0.27210283279418945,0.2459535002708435,0.2982521653175354,0.2653624638915062,0.23946473374962807,0.2912601940333843,0.16137275844812393,0.1362103931605816,0.18653512373566628,0.162329513579607,0.1370179634541273,0.1876410637050867,2.2140820026397705,2.1984492540359497,2.2297147512435913,0.35797399282455444,0.3472115397453308,0.3687364459037781,0.9673238694667816,0.9152232557535172,1.019424483180046,0.0,0.0,0.0,0.9545973241329193,0.9258974343538284,0.9832972139120102,0.18243150413036346,0.09121575206518173,0.2736472561955452,2.8019838333129883,2.5833646059036255,3.020603060722351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1585703343153,0.07928516715765,0.23785550147294998,2.0019615292549133,1.9688319861888885,2.035091072320938,0.0,0.0,0.0,0.0,0.0,0.0
patient,LAM18,near,4,0.1617312729358673,0.15059270709753036,0.1905699446797371,0.1515444964170456,0.1394594870507717,0.18091494962573051,0.08694720640778542,0.08294524997472763,0.09862582013010979,0.08521410077810287,0.08273580111563206,0.09653887338936329,2.082950472831726,1.7010189294815063,2.478782534599304,0.8249930143356323,0.7080283537507057,0.8357074558734894,1.2940083742141724,1.2434238195419312,1.3234785795211792,0.0,0.0,0.37926438450813293,1.1043697893619537,0.7432805746793747,1.2694270312786102,0.0,0.0,0.07148207724094391,2.1712661385536194,1.7402879893779755,2.5793516635894775,0.0,0.0,0.04063547030091286,0.26825129985809326,0.19881809502840042,0.3221020996570587,0.2844482958316803,0.0,0.6132680773735046,0.0,0.0,0.17066897451877594,0.0,0.0,0.0,0.5249829888343811,0.38204871118068695,0.5751342177391052,1.7022519707679749,1.4793699979782104,1.937382847070694,0.0,0.0,0.0,0.0,0.0,0.0
patient,LAM18,mid,4,0.12917215377092361,0.11729824729263783,0.18071385100483894,0.12342127785086632,0.10958222672343254,0.17575985938310623,0.07299063354730606,0.0678353663533926,0.1037086583673954,0.07342338562011719,0.06823755241930485,0.10432353243231773,1.1537249684333801,0.5952116847038269,1.7634572088718414,0.2410980835556984,0.13391286879777908,0.4474620074033737,0.7612423002719879,0.4379717633128166,1.2057698965072632,0.4429401159286499,0.0,0.8962446600198746,0.35568347573280334,0.2646363750100136,0.5451473370194435,0.0,0.0,0.0,1.1361387372016907,0.6676680743694305,1.9527240991592407,0.8643656671047211,0.1490364521741867,1.6557815968990326,0.5804859399795532,0.41565217450261116,0.6784255653619766,0.0,0.0,0.1738758683204651,0.0,0.0,0.0,0.0,0.0,0.05377776920795441,0.36805887520313263,0.1896827593445778,0.5677270442247391,0.8573620915412903,0.5515333935618401,1.3256217539310455,0.0,0.0,0.0,0.0,0.0,0.0
patient,LAM18,far,4,0.08158028498291969,0.07094771414995193,0.09243355877697468,0.07945208996534348,0.06821371242403984,0.09056228026747704,0.06697826460003853,0.06255961209535599,0.07365525513887405,0.06626920588314533,0.060276289470493793,0.07349732331931591,0.12029298767447472,0.07245375774800777,0.2129330225288868,0.20108545571565628,0.14781224727630615,0.2532768175005913,0.30729900300502777,0.29165317863225937,0.3529401496052742,0.3871593177318573,0.3658307418227196,0.4687002822756767,0.0,0.0,0.08597126603126526,0.0,0.0,0.06996486335992813,0.32078130543231964,0.19321002066135406,0.47453492134809494,0.5680235028266907,0.0,1.14437735080719,0.46820761263370514,0.34151921421289444,0.5196227431297302,0.2729378640651703,0.24173785373568535,0.3181200176477432,0.0,0.0,0.0,0.0,0.0,0.0,0.05235671624541283,0.0,0.13672119565308094,0.12818898260593414,0.048302505165338516,0.21394583210349083,0.07995984703302383,0.0,0.16292255744338036,0.0,0.0,0.0
patient,LAM3,near,50,0.5351980328559875,0.33772365003824234,0.5885171294212341,0.5285049378871918,0.3313807025551796,0.5819258242845535,0.48175330460071564,0.30380571633577347,0.5325639843940735,0.47250716388225555,0.296041838824749,0.5269477069377899,1.3960835337638855,1.127632051706314,1.7112932205200195,0.6218210160732269,0.4677547216415405,0.9467196315526962,1.441776156425476,1.1872842609882355,1.7296489477157593,0.8110368251800537,0.49786674976348877,1.0774749219417572,1.4920268654823303,1.0374886095523834,1.8445545434951782,0.6910502910614014,0.3431997001171112,0.8201927542686462,2.1930932998657227,1.7071051895618439,2.5436311960220337,0.0,0.0,0.0,0.23660119622945786,0.11041695065796375,0.43318042904138565,0.9588862359523773,0.7138447910547256,1.3245897591114044,0.0,0.0,0.07922844588756561,0.0,0.0,0.0,0.4101110100746155,0.23088352382183075,0.6411667615175247,1.2502177357673645,1.0459540784358978,1.440116673707962,0.0,0.0,0.0,0.0,0.0,0.09073010832071304
patient,LAM3,mid,50,0.5146016478538513,0.14842301234602928,0.5999370962381363,0.5074626207351685,0.13654545322060585,0.593490719795227,0.4784942716360092,0.0739730279892683,0.5506354421377182,0.4682197868824005,0.07441160455346107,0.5427391827106476,1.4225584268569946,1.11335688829422,1.797069787979126,0.5458077490329742,0.37315833568573,0.814585417509079,1.331430971622467,1.0760706067085266,1.6292495429515839,0.6898422241210938,0.0,0.9889644831418991,1.2719205617904663,0.9708052277565002,1.596473902463913,0.5960135757923126,0.0,0.8269332051277161,2.1863499879837036,1.4729481637477875,2.383508026599884,0.0,0.0,0.0,0.22325704991817474,0.08598615787923336,0.5500884503126144,0.9317494332790375,0.6589796841144562,1.277988463640213,0.0,0.0,0.0,0.0,0.0,0.0,0.36162684857845306,0.20095157995820045,0.5916264802217484,1.285059630870819,0.9509070664644241,1.588740199804306,0.0,0.0,0.0,0.0,0.0,0.08836554363369942
patient,LAM3,far,50,0.3611414134502411,0.14902127161622047,0.599565789103508,0.35787437856197357,0.1419735550880432,0.5872372537851334,0.32258790731430054,0.06948233023285866,0.5585527122020721,0.3189552426338196,0.06989427842199802,0.5524562299251556,1.2282647490501404,0.8299576640129089,1.7115906178951263,0.5713714957237244,0.4158126562833786,0.7248375564813614,1.2448562979698181,0.955068364739418,1.5375052392482758,0.7449923455715179,0.0,1.0675039887428284,1.1806955337524414,0.9481758177280426,1.685496062040329,0.5837701261043549,0.0,0.8081555813550949,1.5604528188705444,1.1383957862854004,2.0726948380470276,0.0,0.0,0.0,0.22636394947767258,0.08341883309185505,0.6546240001916885,0.9915712475776672,0.7171205431222916,1.2521987855434418,0.0,0.0,0.0,0.0,0.0,0.0,0.3073253780603409,0.1159725021570921,0.6096702814102173,1.1421789526939392,0.7647732049226761,1.596711903810501,0.0,0.0,0.0,0.0,0.0,0.06920822896063328
patient,LAM32,near,7,0.20586635172367096,0.1831851303577423,0.25797751545906067,0.2026924192905426,0.17442036420106888,0.24954754114151,0.13245147466659546,0.10261696204543114,0.17143967747688293,0.13323676586151123,0.10322536900639534,0.1706119328737259,1.639671802520752,0.8760093450546265,1.9597892761230469,0.3401993215084076,0.2726873904466629,0.3751200884580612,1.016364336013794,0.9287996292114258,1.2039651274681091,0.0,0.0,0.8134394288063049,0.8322252035140991,0.7164445221424103,0.9511874318122864,0.0,0.0,0.39985594153404236,1.3499623537063599,1.201576054096222,2.560804009437561,0.0,0.0,0.1077282577753067,0.0,0.0,0.27224015444517136,0.0,0.0,0.23533383011817932,0.0,0.0,0.0,0.0,0.0,0.0,0.33933141827583313,0.22096452862024307,0.3953377455472946,1.4242889881134033,0.7360967248678207,1.5856702327728271,0.0,0.0,0.0,0.0,0.0,0.06275568902492523
patient,LAM32,mid,7,0.15642049908638,0.12429342046380043,0.1771903857588768,0.15622031688690186,0.12090042978525162,0.17403890192508698,0.10644474625587463,0.09746481850743294,0.1296078786253929,0.10515356063842773,0.09604708850383759,0.13037630170583725,0.9295521378517151,0.3026474267244339,1.6824913620948792,0.22236979007720947,0.14134902507066727,0.357268288731575,0.5946972370147705,0.3438485711812973,0.8305135369300842,0.0,0.0,0.2654021307826042,0.5929861068725586,0.3954114317893982,0.7741161286830902,0.0,0.0,0.0,0.7946407794952393,0.10328982025384903,1.3975942432880402,0.21902282536029816,0.169636532664299,1.01534304022789,0.137900248169899,0.0,0.36282265186309814,0.0,0.0,0.1990516036748886,0.0,0.0,0.19539381563663483,0.0,0.0,0.0,0.0929187759757042,0.0,0.13132023811340332,0.6197014451026917,0.23799460008740425,1.4026784300804138,0.0,0.0,0.0,0.0,0.0,0.0
